"ID","Блок","Название формулы / переменной","Формульный расчет","Описание логики на русском","Откуда берется","Куда передается","Статус"
"TOBE-FLOW-001","Formula Trace","Calculation Trace","input + source + variable + formula = result -> next block","Для каждой важной строки расчета нужно хранить проверяемую цепочку: что взяли, откуда, на что умножили, какой результат получили и куда он пошел дальше.","Все calculation blocks, variables, references.","Admin Cost Breakdown, audit snapshot.","Нужно утвердить"
"TOBE-FLOW-002","Final Price Build Order","Build Sequence","Inputs -> Route -> Items -> Vehicle/Crew -> Stages -> Fees -> Cost Base -> Margin/Fee/Discount -> Rounding -> Snapshot","Фиксирует порядок, в котором строится цена. Это главный контроль margin и воспроизводимости.","Pricing engine architecture.","Developer Formula Sprint implementation.","Нужно утвердить"
"TOBE-RTE-001","Route Type Pricing","Route Type","routeType = consolidated / direct / specificDate / dedicated / corridor / remote / outOfZone","Заявка должна получить тип маршрута до расчета цены, потому что direct/specific-date/corridor/remote имеют другую экономику.","Pickup ZIP, delivery ZIP, service flags, ZIP dictionary.","Route, pickup, interstate, delivery pricing.","Нужно утвердить"
"TOBE-RTE-002","ZIP / Service Area","ZIP Dictionary","ZIP -> serviceArea -> branch/warehouse -> zoneClass","ZIP dictionary должен быть отдельным справочником, а не частью формулы. Service area задает branch, warehouse point и zone class.","ZIP dictionary, service areas reference.","Distance, route support, zone fees.","Нужен источник данных"
"TOBE-RTE-003","Route / Distance","Distance Source","IF direct/specificDate THEN exact/recalculated miles ELSE approved average/local distance","Для обычного consolidated route можно использовать approved average distance по зоне/филиалу; для direct/specific date нужно пересчитывать mileage.","Warehouse point, distance source, historical metrics.","Pickup/delivery mileage, direct fee, interstate cost.","Нужно утвердить"
"TOBE-RTE-004","Remote / Corridor","Remote Premium","IF zoneClass = remote THEN cost x remoteCoefficient OR fixedRemoteFee","Удаленные зоны должны иметь отдельное правило доплаты, чтобы road cost не съедал margin.","ZIP/service area density analysis.","Route subtotal or service fee.","Нужно утвердить"
"TOBE-ITM-001","Item Calculations","Physical Volume","(Length x Width x Height / 1728) x Quantity","Считает физический объем item в cubic feet с учетом количества.","Item row / Quick Quote catalog transfer / item catalog defaults.","Effective volume, vehicle fit, total volume.","Готово к Formula Sprint"
"TOBE-ITM-002","Item Calculations","Effective Volume","physicalVolume adjusted by stackability / fragile / crate / bulky / handling coefficients","Считает operational volume, который отражает не только физический размер, но и сложность перевозки.","Item row flags, catalog defaults, variables.","Vehicle fit, crew logic, labor model.","Нужно определить формулу"
"TOBE-ITM-003","Non-stack","Effective Height","IF nonStack = TRUE THEN 96 in ELSE item height","Если предмет non-stackable, он занимает высоту 8 ft / 96 in для effective volume.","Item row non-stack checkbox, item height.","Effective volume.","Нужно утвердить"
"TOBE-ITM-004","Bulky / Moving","Bulky Premium","IF totalVolume >= bulkyThreshold THEN bulkyPremium/reviewFlag","Большие moving-like заказы должны получать premium или обязательный review, чтобы быть выгодными.","Total volume, item count, route type.","Vehicle/crew/direct review/final price.","Нужно утвердить"
"TOBE-VEH-001","Vehicle","Vehicle Fit","select smallest vehicle where capacityVolume >= effectiveVolume AND capacityWeight >= totalWeight","Vehicle выбирается по справочнику capacity, а не вручную и не hardcoded.","Effective volume, total weight, vehicle reference.","Interstate cost, local operations.","Нужен справочник"
"TOBE-CREW-001","Crew","Crew Split","pickupCrew = f(pickup complexity); deliveryCrew = f(delivery complexity)","Pickup crew и delivery crew считаются отдельно, потому что pickup и delivery имеют разную трудоемкость.","Item totals, access conditions, labor reference.","Pickup labor, delivery labor.","Нужно определить формулу"
"TOBE-LAB-001","Labor","Pickup Time","basePickupTime + itemCountRate + volumeRate + weightRate + accessImpact","Pickup time считается отдельно и может быть существенно выше delivery.","Item totals, pickup access fields, time metrics.","Pickup labor subtotal.","Нужны данные"
"TOBE-LAB-002","Labor","Delivery Time","baseDeliveryTime + itemCountRate + volumeRate + weightRate + accessImpact","Delivery time должен иметь собственные коэффициенты, не копировать pickup.","Item totals, delivery access fields, time metrics.","Delivery labor subtotal.","Нужны данные"
"TOBE-DIR-001","Direct / Specific Date","Direct Fee","IF direct/specificDate THEN fixedFee + exactMiles x mileageFee ELSE 0","Direct или specific-date service добавляет fixed fee и mileage fee; distance может пересчитываться отдельно.","Direct flag, specific date, distance source.","Pickup/direct/delivery subtotal.","Нужно утвердить"
"TOBE-INT-001","Interstate","Linehaul Cost","interstateMiles x vehicle/route cost variables + fuel + driver + route premium","Interstate stage должен учитывать route type, distance, vehicle, fuel, driver and route premium.","Distance matrix, vehicle reference, fuel reference.","Interstate subtotal.","Нужно утвердить"
"TOBE-FEE-001","Custom Crate","Crate Cost","surfaceArea x materialPrice x wasteCoefficient + laborHours x laborRate + margin","Crate считается от площади внешних размеров, материала, waste/cuts, labor и margin.","Item dimensions, material reference, labor reference.","Packaging/crate subtotal.","Нужно утвердить"
"TOBE-FEE-002","Protection","RV / FVP / DV","RV = included; FVP = declaredValue x rate + fixedFee once per order; DV = future/confirmation","Protection pricing должен использовать declared value, а не item reference price. FVP fixed fee применяется один раз на order.","Protection plan field, declared value input, protection reference.","Protection cost, customer wording.","Нужно legal/finance approval"
"TOBE-FEE-003","Storage","Storage Cost","billableVolume x storageDays x storageRate","Storage остается отдельным cost component и должен сохранять совместимость со старыми estimate snapshots.","Item storage fields, volume, storage variables.","Service fees subtotal, snapshot.","Сохраняем compatibility"
"TOBE-ACC-001","Access","Floor / Elevator / COI","approved access rule by stage; avoid double-counting with labor time","Access условия могут быть fee или time impact, но не должны дублироваться в labor.","Floor, elevator, COI, stairs, long carry.","Pickup/delivery/service subtotal.","Нужно утвердить"
"TOBE-MGN-001","Margin","Margin Application","marginAmount = approvedCostBase x marginRate","Margin применяется к утвержденной cost base в утвержденном порядке.","Stage subtotals, service fees, margin variable.","Raw customer price.","Нужно утвердить"
"TOBE-MGN-002","Discount","Discount Guardrail","discount applies after approved margin/fee step and checks margin floor","Discount должен быть auditable и не должен ломать минимальную прибыльность.","Discount input, approval reason, margin floor.","Final raw price, audit.","Нужно определить формулу"
"TOBE-FINAL-001","Final Total","Rounding","finalCustomerPrice = CEILING(rawCustomerPrice, roundingIncrement)","Клиент видит округленную цену без лишних cents; raw price и rounding delta сохраняются внутри.","Raw customer price, rounding variable.","Estimate Document, snapshot.","Нужно утвердить"
"TOBE-SNAP-001","Snapshot","Immutable Estimate","snapshot = quote + result + trace + formulaVersion + variablesSnapshot + referencesVersion","Estimate должен быть frozen snapshot. Draft может пересчитываться, estimate не должен silently recalc.","Pricing result, quote payload, variables, references.","My Estimates, Cost Breakdown, audit.","Обязательное правило"
"TOBE-GOV-001","Variable Governance","Editable Variable Rule","editableVariable = hasOwner AND hasApprovalRule AND hasBenchmarkPreview","Переменную можно редактировать в admin только если у нее есть владелец, правило approval и preview влияния на benchmark cases.","Variable governance reference.","Admin settings, release control.","Нужно утвердить"
"TOBE-LAB-003","Labor","Total Pickup Labor Hours","pickupLaborHours = pickupMinutes / 60 x pickupCrew","Переводит расчетное pickup time в человеко-часы: если 2 человека работают 45 минут, это 1.5 человеко-часа.","Pickup time model, pickup crew.","Pickup payroll cost, stage labor cost, productivity metrics.","Нужно определить формулу"
