"Formula ID","Block","Formula / Variable","Formula","Описание логики расчета","Level","Source / Input","Output / Goes To","Used In"
"ITM-001","Item Calculations","Billable Item","Item Name exists AND Quantity > 0 AND (Physical Volume > 0 OR Total Weight > 0)","Строка item попадает в расчет только если есть название и есть физический объем или вес. Пустые строки и name-only строки не создают цену. Результат идет в список calculatedItems.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Item calculations, final zero guard"
"ITM-002","Item Calculations","Physical Volume","Length(in) x Width(in) x Height(in) / 1728 x Quantity","Физический объем item считается из размеров в inches. Размеры берутся из Quote Draft item row или Quick Quote catalog transfer. Результат идет в item volume, total shipment volume, effective volume и vehicle fit.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Total shipment volume, effective volume, vehicle fit"
"ITM-003","Item Calculations","Total Shipment Volume","SUM(All Item Physical Volumes)","Общий физический объем заказа равен сумме physical volume всех billable items. Результат показывается в summary и используется для Effective $/cu ft.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Summary, effective cost per cu ft"
"ITM-004","Item Calculations","Effective Volume Multiplier","1 + Fragile*0.10 + NonStackable*0.25 + Crated*0.15","Калькулятор увеличивает operational volume, если item fragile, non-stackable или crated. Флаги берутся из item row. Результат multiplier идет в effective volume.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Effective volume"
"ITM-005","Item Calculations","Effective Volume","CEILING(Physical Volume x Effective Volume Multiplier)","Effective volume показывает, сколько operational space занимает item с учетом handling complexity. Берется physical volume и flags multiplier. Результат идет в total effective volume, vehicle fit и volume-based stage model.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Vehicle fit, volume model, operational cost"
"ITM-006","Item Calculations","Total Effective Volume","SUM(All Item Effective Volumes)","Общий effective volume заказа равен сумме effective volume всех billable items. Результат идет в vehicle fit, pickup/interstate/delivery volume model и bulky/direct review recommendation.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Vehicle fit, stage calculations"
"ITM-007","Item Calculations","Item Total Weight","Item Weight x Quantity","Вес item line считается как вес одного предмета, умноженный на количество. Вес берется из Quote Draft item row или catalog default. Результат идет в total shipment weight, warning/crew logic, vehicle fit и weight model.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Total weight, crew logic, weight model"
"ITM-008","Item Calculations","Total Shipment Weight","SUM(All Item Total Weights)","Общий вес заказа равен сумме total weight всех billable items. Результат идет в vehicle fit и weight-based stage model.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Vehicle fit, weight model"
"ITM-009","Item Calculations","Missing Weight Warning","IF(Physical Volume > 0 AND Total Weight = 0, 'Fill up the weight')","Если у item есть объем, но вес не заполнен, калькулятор показывает warning. Это не добавляет цену напрямую, но сигнализирует риск неверной себестоимости.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Warnings, broker review"
"ITM-010","Item Calculations","Heavy Item Warning","IF(Item Weight >= 200, 'Extremely heavy')","Если вес одного item >= 200 lb, система помечает item как extremely heavy. Результат идет в warnings и crewNeed = 2.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Warnings, crew logic"
