"Scope","ID","Block","Formula / Variable","Formula","Описание логики на русском","Level / Stage","Source / Input","Output / Goes To","Status / Approval","Used In / CEO Question"
"AS-IS","SYS-001","System Helpers","Numeric value fallback","Number(value), if not finite -> 0","Любое числовое поле сначала приводится к числу. Если брокер оставил поле пустым или значение не число, калькулятор использует 0, чтобы расчет не ломался. Берется из input field или runtime variable; дальше используется во всех формулах.","System","User input values, runtime variables, calculator helper functions","Normalized values used by all formula blocks","Implemented / Baseline","All calculations"
"AS-IS","SYS-002","System Helpers","Money rounding","ROUND(value, 2 decimals)","Промежуточные денежные и расчетные значения округляются до 2 знаков после запятой для внутреннего результата. Берется расчетное значение; дальше идет в totals, item result и breakdown.","System","User input values, runtime variables, calculator helper functions","Normalized values used by all formula blocks","Implemented / Baseline","Items, totals, breakdown"
"AS-IS","SYS-003","System Helpers","Final price rounding","CEILING(Raw Price, Rounding Increment)","Итоговая цена для клиента округляется вверх до ближайшего шага округления. Сейчас шаг округления = $10 из settings.rounding. Берется raw price; результат идет в Estimate Document и Cost Breakdown.","Order","User input values, runtime variables, calculator helper functions","Normalized values used by all formula blocks","Implemented / Baseline","Final Customer Price"
"AS-IS","RTE-001","Route / Distance","Pickup Zone","NormalizeZoneName(Zip Dictionary[Pickup ZIP])","Pickup ZIP из Quote Draft ищется в ZIP dictionary, затем приводится к canonical zone: например NYC -> NY Area. Результат используется для route distance, pickup local distance и route label.","Route","Quote Draft pickup/delivery ZIP, ZIP dictionary, distance matrix","Pickup zone, delivery zone, route support, pickup/delivery/interstate distances","Implemented / Baseline","Distance, pickup stage"
"AS-IS","RTE-002","Route / Distance","Delivery Zone","NormalizeZoneName(Zip Dictionary[Delivery ZIP])","Delivery ZIP из Quote Draft ищется в ZIP dictionary, затем приводится к canonical zone: например CA (LA) -> CA South. Результат используется для route distance, delivery local distance и route label.","Route","Quote Draft pickup/delivery ZIP, ZIP dictionary, distance matrix","Pickup zone, delivery zone, route support, pickup/delivery/interstate distances","Implemented / Baseline","Distance, delivery stage"
"AS-IS","RTE-003","Route / Distance","Interstate Distance","Distance Matrix[Pickup Zone][Delivery Zone]","Калькулятор берет canonical pickup zone и delivery zone, затем ищет расстояние в distance matrix. Если расстояние найдено, routeSupported = TRUE. Результат идет в interstate fuel, vehicle cost, driver cost и final route cost.","Route","Quote Draft pickup/delivery ZIP, ZIP dictionary, distance matrix","Pickup zone, delivery zone, route support, pickup/delivery/interstate distances","Implemented / Baseline","Interstate stage, route support"
"AS-IS","RTE-004","Route / Distance","Pickup Local Distance","Distance Matrix[Pickup Zone][Pickup Zone]","Для pickup stage используется среднее локальное расстояние внутри pickup zone. Берется из distance matrix по pickup zone -> pickup zone. Результат идет в pickup mileage и pickup labor mileage.","Pickup","Quote Draft pickup/delivery ZIP, ZIP dictionary, distance matrix","Pickup zone, delivery zone, route support, pickup/delivery/interstate distances","Implemented / Baseline","Pickup cost"
"AS-IS","RTE-005","Route / Distance","Delivery Local Distance","Distance Matrix[Delivery Zone][Delivery Zone]","Для delivery stage используется среднее локальное расстояние внутри delivery zone. Берется из distance matrix по delivery zone -> delivery zone. Результат идет в delivery mileage и delivery labor mileage.","Delivery","Quote Draft pickup/delivery ZIP, ZIP dictionary, distance matrix","Pickup zone, delivery zone, route support, pickup/delivery/interstate distances","Implemented / Baseline","Delivery cost"
"AS-IS","ITM-001","Item Calculations","Billable Item","Item Name exists AND Quantity > 0 AND (Physical Volume > 0 OR Total Weight > 0)","Строка item попадает в расчет только если есть название и есть физический объем или вес. Пустые строки и name-only строки не создают цену. Результат идет в список calculatedItems.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Item calculations, final zero guard"
"AS-IS","ITM-002","Item Calculations","Physical Volume","Length(in) x Width(in) x Height(in) / 1728 x Quantity","Физический объем item считается из размеров в inches. Размеры берутся из Quote Draft item row или Quick Quote catalog transfer. Результат идет в item volume, total shipment volume, effective volume и vehicle fit.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Total shipment volume, effective volume, vehicle fit"
"AS-IS","ITM-003","Item Calculations","Total Shipment Volume","SUM(All Item Physical Volumes)","Общий физический объем заказа равен сумме physical volume всех billable items. Результат показывается в summary и используется для Effective $/cu ft.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Summary, effective cost per cu ft"
"AS-IS","ITM-004","Item Calculations","Effective Volume Multiplier","1 + Fragile*0.10 + NonStackable*0.25 + Crated*0.15","Калькулятор увеличивает operational volume, если item fragile, non-stackable или crated. Флаги берутся из item row. Результат multiplier идет в effective volume.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Effective volume"
"AS-IS","ITM-005","Item Calculations","Effective Volume","CEILING(Physical Volume x Effective Volume Multiplier)","Effective volume показывает, сколько operational space занимает item с учетом handling complexity. Берется physical volume и flags multiplier. Результат идет в total effective volume, vehicle fit и volume-based stage model.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Vehicle fit, volume model, operational cost"
"AS-IS","ITM-006","Item Calculations","Total Effective Volume","SUM(All Item Effective Volumes)","Общий effective volume заказа равен сумме effective volume всех billable items. Результат идет в vehicle fit, pickup/interstate/delivery volume model и bulky/direct review recommendation.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Vehicle fit, stage calculations"
"AS-IS","ITM-007","Item Calculations","Item Total Weight","Item Weight x Quantity","Вес item line считается как вес одного предмета, умноженный на количество. Вес берется из Quote Draft item row или catalog default. Результат идет в total shipment weight, warning/crew logic, vehicle fit и weight model.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Total weight, crew logic, weight model"
"AS-IS","ITM-008","Item Calculations","Total Shipment Weight","SUM(All Item Total Weights)","Общий вес заказа равен сумме total weight всех billable items. Результат идет в vehicle fit и weight-based stage model.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Vehicle fit, weight model"
"AS-IS","ITM-009","Item Calculations","Missing Weight Warning","IF(Physical Volume > 0 AND Total Weight = 0, 'Fill up the weight')","Если у item есть объем, но вес не заполнен, калькулятор показывает warning. Это не добавляет цену напрямую, но сигнализирует риск неверной себестоимости.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Warnings, broker review"
"AS-IS","ITM-010","Item Calculations","Heavy Item Warning","IF(Item Weight >= 200, 'Extremely heavy')","Если вес одного item >= 200 lb, система помечает item как extremely heavy. Результат идет в warnings и crewNeed = 2.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Warnings, crew logic"
"AS-IS","ITM-011","Item Calculations","Two-Person Weight Warning","IF(Item Weight >= 100, 'Heavy. 2 people needed')","Если вес item >= 100 lb, система считает, что требуется 2 человека. Результат идет в crewNeed и затем в pickup/delivery labor.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Crew logic, pickup/delivery labor"
"AS-IS","ITM-012","Item Calculations","Bulky Dimension Warning","IF((Length + Width + Height) / 12 >= 11, 'Bulky. 2 people needed')","Если сумма габаритов item в feet >= 11, система считает item bulky и требует 2 человека. Результат идет в crewNeed и labor.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Crew logic, pickup/delivery labor"
"AS-IS","ITM-013","Item Calculations","Item Crew Need","IF(Warning contains heavy or 2 people, 2, else 1)","Crew need определяется из warning logic. Если item тяжелый или bulky, item crew need = 2, иначе 1. Результат идет в required crew, pickup team и delivery team.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Implemented / Baseline","Crew, labor"
"AS-IS","VEH-001","Vehicle Fit","Vehicle Fit","First Active Vehicle where Total Effective Volume <= Vehicle Volume AND Total Weight <= Vehicle Payload","Калькулятор выбирает первый active vehicle из References Vehicles, который вмещает заказ по volume и payload. Результат идет в pickup/delivery vehicle cost и vehicle display.","Order","Total effective volume, total weight, References Vehicles","Selected vehicle and interstate vehicle used by stage costs","Implemented / Baseline","Vehicle, pickup/delivery mileage"
"AS-IS","VEH-002","Vehicle Fit","Interstate Vehicle","Vehicle by settings.interstateVehicleName, fallback selected vehicle","Для interstate stage используется vehicle из settings.interstateVehicleName. Сейчас baseline = Penske 26 ft. Если vehicle не найден, используется vehicle fit result. Результат идет в interstate fuel, maintenance и driver formulas.","Interstate","Total effective volume, total weight, References Vehicles","Selected vehicle and interstate vehicle used by stage costs","Implemented / Baseline","Interstate cost"
"AS-IS","PKG-001","Packaging","Packaging Cost Per Item","Packaging Rate x Quantity","Packaging rate берется из packagingRates по выбранному item packaging. Результат идет в item.packagingCost и totals.packaging. Важно: AS-IS per-item packaging не добавляется напрямую в additionalCharges.","Item","Item packaging dropdown, Item Catalog default, packagingRates","Item packaging cost and packaging display total","Implemented / Baseline","Packaging display, cost breakdown"
"AS-IS","PKG-002","Packaging","Packaging Total Display","SUM(Item Packaging Costs) + Packaging Per Shipment","Totals.packaging показывает сумму item packaging plus packagingPerShipment, если есть billable items. Это internal/display metric. В final price AS-IS влияет только packagingPerShipment внутри pickup handling.","Order","Item packaging dropdown, Item Catalog default, packagingRates","Item packaging cost and packaging display total","Implemented / Baseline","Breakdown packaging display"
"AS-IS","PROT-001","Protection Plan","Protection Legacy Type","IF Protection Plan = FVP then Full Coverage else Basic Liability","Broker-facing protectionPlan приводится к legacy insurance type для текущего калькулятора. RV и DV считаются как Basic Liability, FVP как Full Coverage. Результат идет в protectionPlans lookup.","Item","Item protectionPlan field, declaredValue input, protectionPlans","Insurance/protection cost and customer-facing protection status","Implemented / Baseline","Protection cost"
"AS-IS","PROT-002","Protection Plan","RV Protection Cost","0","RV / Released Value использует Basic Liability с rate 0 и fixed fee 0. Результат идет в insuranceCost = 0 и не увеличивает final price.","Item","Item protectionPlan field, declaredValue input, protectionPlans","Insurance/protection cost and customer-facing protection status","Implemented / Baseline","Protection, final total"
"AS-IS","PROT-003","Protection Plan","FVP Protection Cost","Declared Value x 0.025 + 15","Если выбран FVP / Full Coverage, калькулятор берет declaredValue из item row, умножает на 2.5% и добавляет fixed fee $15. Результат идет в item.insuranceCost, totals.insurance и serviceCost.","Item","Item protectionPlan field, declaredValue input, protectionPlans","Insurance/protection cost and customer-facing protection status","Implemented / Baseline","Protection, service cost, final total"
"AS-IS","PROT-004","Protection Plan","DV Price Impact","0 AS-IS because DV maps to Basic Liability pricing","DV сейчас является capture/confirmation behavior и в pricing считается как Basic Liability. Результат не увеличивает final price; wording идет в Estimate Document как confirmation required.","Item","Item protectionPlan field, declaredValue input, protectionPlans","Insurance/protection cost and customer-facing protection status","Implemented / Baseline","Protection wording"
"AS-IS","STO-001","Storage","Storage Cost","Effective Volume x Storage Days x Storage Per Cu Ft Per Day","Storage считается по каждому item: effective volume умножается на storage days и storage rate из settings. Результат идет в totals.storage и additionalCharges.","Item","Item storageDays input, effective volume, storage rate variable","Storage cost included in additional charges","Implemented / Baseline","Storage, additional charges"
"AS-IS","FUEL-001","Fuel","Internal Fuel Price","Fuel Current Avg x (1 + Fuel Surcharge % / 100)","Fuel price берется из Fuel Prices reference/runtime storage. Калькулятор добавляет surcharge percent. Результат идет в fuel cost per mile.","Vehicle/Fuel","Fuel Prices reference/runtime variables and Vehicles reference MPG","Fuel cost per mile and per unit mile","Implemented / Baseline","Fuel cost per mile"
"AS-IS","FUEL-002","Fuel","Fuel Cost Per Mile","Internal Fuel Price / (Vehicle Calculation MPG or Vehicle MPG)","Fuel cost per mile считается из internal fuel price и vehicle MPG. MPG берется из References Vehicles. Если internal fuel или MPG недоступны, используется vehicle.fuelPerMile fallback.","Vehicle/Fuel","Fuel Prices reference/runtime variables and Vehicles reference MPG","Fuel cost per mile and per unit mile","Implemented / Baseline","Pickup, delivery, interstate fuel"
"AS-IS","FUEL-003","Fuel","Fuel Cost Per Unit Mile","Fuel Cost Per Mile / Vehicle Denominator","Для interstate allocation fuel cost per mile делится на vehicle volume, если модель volume, или на vehicle payload, если модель weight. Результат идет в interstate fuel component.","Interstate","Fuel Prices reference/runtime variables and Vehicles reference MPG","Fuel cost per mile and per unit mile","Implemented / Baseline","Interstate fuel"
"AS-IS","PICK-001","Pickup Stage","Pickup Loading Minutes - Volume","IF Volume < 80 then 205.57 x Volume / (144.87 + Volume), else 73.13 + 0.5 x (Volume - 80)","Pickup loading time по volume model берется из total effective volume и loading coefficients из settings. Результат идет в pickup labor.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Implemented / Baseline","Pickup labor"
"AS-IS","PICK-002","Pickup Stage","Pickup Loading Minutes - Weight","Total Weight x 0.2","Pickup loading time по weight model берется из total shipment weight и per-lb minute coefficient. Результат идет в pickup labor.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Implemented / Baseline","Pickup labor"
"AS-IS","DEL-001","Delivery Stage","Delivery Unloading Minutes - Volume","Total Effective Volume x 0.5","Delivery unloading time по volume model берется из total effective volume и unloadingPerCuFtMinute. Результат идет в delivery labor.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Implemented / Baseline","Delivery labor"
"AS-IS","DEL-002","Delivery Stage","Delivery Unloading Minutes - Weight","Total Weight x 0.2","Delivery unloading time по weight model берется из total shipment weight и per-lb minute coefficient. Результат идет в delivery labor.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Implemented / Baseline","Delivery labor"
"AS-IS","PICK-003","Pickup Stage","Pickup Labor Cost","MAX(Pickup Load Minutes, 40) x Wage Per Minute x Pickup Team + Pickup Wage Per Mile x Pickup Distance x Pickup Team","Pickup labor берет load minutes, minimum loading minutes, wagePerMinute, pickupDistance и pickupTeam. Результат идет в pickupCost и stageBreakdown.pickup.labor.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Implemented / Baseline","Pickup subtotal, route cost"
