"Canonical Reference ID","Name","Description","Key Fields","Source / Owner","Used In","Data Readiness","Risk Note","Alias IDs","Source Scopes","Conflict","Test Assumption"
"REF-001","Quote Draft item row","Основной источник item-level pricing inputs: dimensions, weight, qty, packaging, protection, storage и flags.","Item name, dimensions, weight, qty, packaging, protection, declared value, storage, flags","index.html / js/ui.js","Item Calculations, Packaging, Protection, Storage","Ready","Primary broker input source.","","AS-IS","No",""
"REF-002","Quick Quote catalog transfer","Переносит данные из Quick Quote в Full Quote, чтобы broker не вводил catalog dimensions повторно.","Catalog dimensions, weight, packaging defaults transferred to Full Quote","quick-quote.html / js/quickQuote.js / js/itemCatalog.js","Item Calculations","Ready","Preserves catalog dimensions unless volume manually overridden.","","AS-IS","No",""
"REF-003","Item Catalog","Содержит default item templates; используется как стартовая база размеров/веса для быстрых расчетов.","Default item templates","js/itemCatalog.js","Quick Quote, References, item defaults","Ready","Seed catalog, not SKU-specific production source.","","AS-IS","No",""
"REF-TBE-001","ZIP Dictionary","Главный справочник route classification: ZIP определяет service area, branch и zone class.","ZIP, serviceAreaId, branchId, zoneClass, activeFlag","Определять service area, branch, core/corridor/remote/out-of-zone.","Route, distance, zone fees","Test Assumption","Нужен отдельный source of truth.","REF-004","AS-IS; TO-BE","Review aliases","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-005","Zone normalization","Приводит raw zone к canonical zone, чтобы distance matrix и pricing использовали единые названия зон.","Raw zone -> canonical zone","js/variables.js normalizeZoneName","Route/Distance","Ready","Examples: NYC -> NY Area, CA (LA) -> CA South.","","AS-IS","No",""
"REF-006","Distance Matrix","AS-IS static/average distance source для pickup, delivery и interstate mileage.","Canonical zone pair distances and same-zone local distances","js/variables.js distanceMatrix","Pickup, Delivery, Interstate distance","Ready","AS-IS average/static distance source.","","AS-IS","No",""
"REF-007","Vehicles Reference","Vehicle reference хранит capacity, payload, MPG и maintenance; используется для fit, fuel и route cost.","Capacity, payload, fuel type, MPG, calculation MPG, maintenance","js/variables.js vehicleTypes / PricingConfig vehicles","Vehicle fit, fuel, mileage, interstate allocation","Ready","calculationMpg preserves UAT baseline.","","AS-IS","No",""
"REF-008","Fuel Prices Reference","Fuel reference хранит актуальные fuel prices and surcharge для расчета fuel cost per mile.","Fuel type, currentAvg, fuelSurchargePct","js/variables.js fuelPrices / PricingConfig fuelPrices storage","Fuel Cost Per Mile","Ready","Runtime bucket can override baseline.","","AS-IS","No",""
"REF-009","Packaging Rates","Packaging rate table связывает selected packaging type с item-level packaging amount.","Packaging type -> rate","js/variables.js packagingRates","Packaging Cost Per Item","Ready","AS-IS display/tracking nuance.","","AS-IS","No",""
"REF-TBE-008","Protection Plans","Protection plans reference определяет RV/FVP/DV pricing, fixed fees and customer wording.","planCode, rate, fixedFee, included, requiresConfirmation","RV/FVP/DV pricing и customer wording.","Protection","Test Assumption","Нужен legal/finance approval.","REF-010","AS-IS; TO-BE","Review aliases","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-011","Access Conditions","Access conditions source: COI, stairs, floor, narrow access, elevator unavailable, long carry and crew inputs.","COI, stairs, floor, narrow, elevator unavailable, long carry, crew","Quote Draft access fields / saved drafts","Access Fees, Crew overrides","Ready","Some legacy fields are hidden in current broker UI.","","AS-IS","No",""
