"ID","Блок","Формула / переменная","Формульный расчет","Описание логики на русском","Откуда берется","Куда передается","Статус согласования","Вопрос CEO"
"TBE-FLOW-001","Formula Trace","Calculation Trace","input + source + variable + formula = result -> next block","Для каждой важной строки расчета нужно хранить проверяемую цепочку: что взяли, откуда, на что умножили, какой результат получили и куда он пошел дальше.","Все calculation blocks, variables, references.","Admin Cost Breakdown, audit snapshot.","Нужно утвердить","Нужен ли trace для всех компонентов или только для pricing-impact rows?"
"TBE-FLOW-002","Final Price Build Order","Build Sequence","Inputs -> Route -> Items -> Vehicle/Crew -> Stages -> Fees -> Cost Base -> Margin/Fee/Discount -> Rounding -> Snapshot","Фиксирует порядок, в котором строится цена. Это главный контроль margin и воспроизводимости.","Pricing engine architecture.","Developer Formula Sprint implementation.","Нужно утвердить","Утверждаем ли этот порядок как обязательный?"
"TBE-RTE-001","Route Type Pricing","Route Type","routeType = consolidated / direct / specificDate / dedicated / corridor / remote / outOfZone","Заявка должна получить тип маршрута до расчета цены, потому что direct/specific-date/corridor/remote имеют другую экономику.","Pickup ZIP, delivery ZIP, service flags, ZIP dictionary.","Route, pickup, interstate, delivery pricing.","Нужно утвердить","Какие route types входят в MVP Formula Sprint?"
"TBE-RTE-002","ZIP / Service Area","ZIP Dictionary","ZIP -> serviceArea -> branch/warehouse -> zoneClass","ZIP dictionary должен быть отдельным справочником, а не частью формулы. Service area задает branch, warehouse point и zone class.","ZIP dictionary, service areas reference.","Distance, route support, zone fees.","Нужен источник данных","Кто владелец ZIP dictionary и как часто обновляем?"
"TBE-RTE-003","Route / Distance","Distance Source","IF direct/specificDate THEN exact/recalculated miles ELSE approved average/local distance","Для обычного consolidated route можно использовать approved average distance по зоне/филиалу; для direct/specific date нужно пересчитывать mileage.","Warehouse point, distance source, historical metrics.","Pickup/delivery mileage, direct fee, interstate cost.","Нужно утвердить","Когда используем average, а когда exact mileage?"
"TBE-RTE-004","Remote / Corridor","Remote Premium","IF zoneClass = remote THEN cost x remoteCoefficient OR fixedRemoteFee","Удаленные зоны должны иметь отдельное правило доплаты, чтобы road cost не съедал margin.","ZIP/service area density analysis.","Route subtotal or service fee.","Нужно утвердить","Коэффициент, fixed fee или manual review?"
"TBE-ITM-001","Item Calculations","Physical Volume","(Length x Width x Height / 1728) x Quantity","Считает физический объем item в cubic feet с учетом количества.","Item row / Quick Quote catalog transfer / item catalog defaults.","Effective volume, vehicle fit, total volume.","Готово к Formula Sprint","Округляем item volume или только total/effective volume?"
"TBE-ITM-002","Item Calculations","Effective Volume","physicalVolume adjusted by stackability / fragile / crate / bulky / handling coefficients","Считает operational volume, который отражает не только физический размер, но и сложность перевозки.","Item row flags, catalog defaults, variables.","Vehicle fit, crew logic, labor model.","Нужно определить формулу","Какие coefficients входят в MVP?"
"TBE-ITM-003","Non-stack","Effective Height","IF nonStack = TRUE THEN 96 in ELSE item height","Если предмет non-stackable, он занимает высоту 8 ft / 96 in для effective volume.","Item row non-stack checkbox, item height.","Effective volume.","Нужно утвердить","Всегда 96 in или зависит от vehicle/route?"
"TBE-ITM-004","Bulky / Moving","Bulky Premium","IF totalVolume >= bulkyThreshold THEN bulkyPremium/reviewFlag","Большие moving-like заказы должны получать premium или обязательный review, чтобы быть выгодными.","Total volume, item count, route type.","Vehicle/crew/direct review/final price.","Нужно утвердить","Threshold 250+ cu ft фиксируем? Какой premium?"
"TBE-VEH-001","Vehicle","Vehicle Fit","select smallest vehicle where capacityVolume >= effectiveVolume AND capacityWeight >= totalWeight","Vehicle выбирается по справочнику capacity, а не вручную и не hardcoded.","Effective volume, total weight, vehicle reference.","Interstate cost, local operations.","Нужен справочник","Какие vehicle types и capacity утверждаем?"
"TBE-CREW-001","Crew","Crew Split","pickupCrew = f(pickup complexity); deliveryCrew = f(delivery complexity)","Pickup crew и delivery crew считаются отдельно, потому что pickup и delivery имеют разную трудоемкость.","Item totals, access conditions, labor reference.","Pickup labor, delivery labor.","Нужно определить формулу","Какие условия повышают crew?"
"TBE-LAB-001","Labor","Pickup Time","basePickupTime + itemCountRate + volumeRate + weightRate + accessImpact","Pickup time считается отдельно и может быть существенно выше delivery.","Item totals, pickup access fields, time metrics.","Pickup labor subtotal.","Нужны данные","Какие time metrics собираем как source of truth?"
"TBE-LAB-002","Labor","Delivery Time","baseDeliveryTime + itemCountRate + volumeRate + weightRate + accessImpact","Delivery time должен иметь собственные коэффициенты, не копировать pickup.","Item totals, delivery access fields, time metrics.","Delivery labor subtotal.","Нужны данные","Подтверждаем отдельную модель delivery?"
"TBE-DIR-001","Direct / Specific Date","Direct Fee","IF direct/specificDate THEN fixedFee + exactMiles x mileageFee ELSE 0","Direct или specific-date service добавляет fixed fee и mileage fee; distance может пересчитываться отдельно.","Direct flag, specific date, distance source.","Pickup/direct/delivery subtotal.","Нужно утвердить","Утверждаем $300 + $2/mile как baseline или только пример?"
"TBE-INT-001","Interstate","Linehaul Cost","interstateMiles x vehicle/route cost variables + fuel + driver + route premium","Interstate stage должен учитывать route type, distance, vehicle, fuel, driver and route premium.","Distance matrix, vehicle reference, fuel reference.","Interstate subtotal.","Нужно утвердить","Как route type влияет на linehaul?"
"TBE-FEE-001","Custom Crate","Crate Cost","surfaceArea x materialPrice x wasteCoefficient + laborHours x laborRate + margin","Crate считается от площади внешних размеров, материала, waste/cuts, labor и margin.","Item dimensions, material reference, labor reference.","Packaging/crate subtotal.","Нужно утвердить","Кто дает material price и labor estimate?"
"TBE-FEE-002","Protection","RV / FVP / DV","RV = included; FVP = declaredValue x rate + fixedFee once per order; DV = future/confirmation","Protection pricing должен использовать declared value, а не item reference price. FVP fixed fee применяется один раз на order.","Protection plan field, declared value input, protection reference.","Protection cost, customer wording.","Нужно legal/finance approval","Какой rate/fixed fee/writing для FVP и DV?"
"TBE-FEE-003","Storage","Storage Cost","billableVolume x storageDays x storageRate","Storage остается отдельным cost component и должен сохранять совместимость со старыми estimate snapshots.","Item storage fields, volume, storage variables.","Service fees subtotal, snapshot.","Сохраняем compatibility","Меняем ли storage в Formula Sprint или только фиксируем?"
"TBE-ACC-001","Access","Floor / Elevator / COI","approved access rule by stage; avoid double-counting with labor time","Access условия могут быть fee или time impact, но не должны дублироваться в labor.","Floor, elevator, COI, stairs, long carry.","Pickup/delivery/service subtotal.","Нужно утвердить","Access считать fee, time impact или оба с guardrail?"
"TBE-MGN-001","Margin","Margin Application","marginAmount = approvedCostBase x marginRate","Margin применяется к утвержденной cost base в утвержденном порядке.","Stage subtotals, service fees, margin variable.","Raw customer price.","Нужно утвердить","Margin до или после broker fee?"
"TBE-MGN-002","Discount","Discount Guardrail","discount applies after approved margin/fee step and checks margin floor","Discount должен быть auditable и не должен ломать минимальную прибыльность.","Discount input, approval reason, margin floor.","Final raw price, audit.","Нужно определить формулу","Кто может давать discount и какой floor?"
"TBE-FINAL-001","Final Total","Rounding","finalCustomerPrice = CEILING(rawCustomerPrice, roundingIncrement)","Клиент видит округленную цену без лишних cents; raw price и rounding delta сохраняются внутри.","Raw customer price, rounding variable.","Estimate Document, snapshot.","Нужно утвердить","Округляем до $10 или другое правило?"
"TBE-SNAP-001","Snapshot","Immutable Estimate","snapshot = quote + result + trace + formulaVersion + variablesSnapshot + referencesVersion","Estimate должен быть frozen snapshot. Draft может пересчитываться, estimate не должен silently recalc.","Pricing result, quote payload, variables, references.","My Estimates, Cost Breakdown, audit.","Обязательное правило","Какие versions храним в snapshot?"
"TBE-GOV-001","Variable Governance","Editable Variable Rule","editableVariable = hasOwner AND hasApprovalRule AND hasBenchmarkPreview","Переменную можно редактировать в admin только если у нее есть владелец, правило approval и preview влияния на benchmark cases.","Variable governance reference.","Admin settings, release control.","Нужно утвердить","Кто owner для commercial variables?"
"TBE-LAB-003","Labor","Total Pickup Labor Hours","pickupLaborHours = pickupMinutes / 60 x pickupCrew","Переводит расчетное pickup time в человеко-часы: если 2 человека работают 45 минут, это 1.5 человеко-часа.","Pickup time model, pickup crew.","Pickup payroll cost, stage labor cost, productivity metrics.","Нужно определить формулу","Считаем paid hours по фактическим минутам или с minimum billable time?"
"TBE-LAB-004","Labor","Total Delivery Labor Hours","deliveryLaborHours = deliveryMinutes / 60 x deliveryCrew","Переводит delivery time в человеко-часы отдельно от pickup, чтобы видеть реальную трудоемкость delivery stage.","Delivery time model, delivery crew.","Delivery payroll cost, stage labor cost, productivity metrics.","Нужно определить формулу","Delivery hours должны иметь отдельный minimum от pickup?"
"TBE-LAB-005","Labor","Helper Labor Hours","helperHours = helperCount x max(helperMinutes, minHelperMinutes) / 60","Считает человеко-часы дополнительных helpers с учетом минимального оплачиваемого времени.","Heavy/bulky/access flags, helper count, min helper time.","Helper payroll, access/labor surcharge.","Нужно утвердить","Какой minimum helper time применять: 2 часа или другое значение?"
"TBE-LAB-006","Labor","Billable vs Paid Labor Hours","laborVariance = billableLaborHours - paidLaborHours","Разделяет customer-billable labor и payroll-paid labor, чтобы видеть маржу на labor и не путать цену с выплатами.","Billable minutes, actual/paid minutes, crew records.","Labor margin, payroll audit, productivity analysis.","Нужны данные","Нужно ли хранить фактические paid hours отдельно от расчетных?"
"TBE-LAB-007","Labor","Labor Productivity Rate","productivity = totalEffectiveVolume / totalLaborHours","Показывает, сколько cu ft обрабатывается за человеко-час. Нужно для калибровки pickup/delivery time model.","Effective volume, labor hours.","Operations metrics, coefficient calibration.","Нужны данные","Какой target productivity считать нормой?"
"TBE-PAY-001","Payroll","Crew Base Pay","crewBasePay = paidLaborHours x hourlyWage","Считает базовую зарплату crew по фактически оплачиваемым человеко-часам и ставке.","Paid labor hours, wage reference.","Payroll cost, fully loaded cost.","Нужен справочник","Ставки crew единые или зависят от role/branch?"
"TBE-PAY-002","Payroll","Crew Overtime Pay","overtimePay = overtimeHours x hourlyWage x overtimeMultiplier","Считает overtime отдельно, чтобы большие/сложные заказы не занижали payroll cost.","Paid hours, overtime threshold, wage reference.","Payroll cost, profitability guardrail.","Нужно утвердить","Нужно ли учитывать overtime в quote pricing или только в actual profitability?"
"TBE-PAY-003","Payroll","Payroll Burden","payrollBurden = crewGrossPay x payrollBurdenRate","Добавляет payroll taxes/insurance/benefits burden к зарплате, чтобы margin считался по fully loaded labor cost.","Crew gross pay, payroll burden rate.","Fully loaded labor cost.","Нужно утвердить CFO","Какой payroll burden rate использовать?"
"TBE-PAY-004","Payroll","Total Crew Cost","totalCrewCost = crewBasePay + overtimePay + payrollBurden + helperPay","Собирает полную cost of labor по заказу или stage.","Crew pay components, helper pay.","Operational cost base, contribution margin.","Нужно утвердить","Crew cost включается в stage cost полностью или частично?"
"TBE-PAY-005","Payroll","Stage Labor Cost Allocation","stageLaborCost = laborHoursByStage x fullyLoadedHourlyRate","Распределяет fully loaded labor cost по pickup/interstate/delivery, чтобы маржинальность была видна по stage.","Labor hours by stage, fully loaded hourly rate.","Stage subtotal, stage margin analysis.","Нужно определить формулу","Нужно ли interstate crew labor считать отдельно от driver cost?"
"TBE-BRK-001","Broker Payout","Broker Commission Base","brokerCommissionBase = approvedRevenueBase - excludedFees","Определяет базу, от которой считается выплата broker. Некоторые fees могут исключаться.","Final price, service fees, excluded fee list.","Broker commission.","Нужно утвердить CFO","Комиссия считается от total customer price или только от net revenue?"
