"ID","Блок","Название формулы / переменной","Формульный расчет","Описание логики на русском","Откуда берется","Куда передается","Статус"
"TOBE-LAB-003","Labor","Total Pickup Labor Hours","pickupLaborHours = pickupMinutes / 60 x pickupCrew","Переводит расчетное pickup time в человеко-часы: если 2 человека работают 45 минут, это 1.5 человеко-часа.","Pickup time model, pickup crew.","Pickup payroll cost, stage labor cost, productivity metrics.","Нужно определить формулу"
"TOBE-LAB-004","Labor","Total Delivery Labor Hours","deliveryLaborHours = deliveryMinutes / 60 x deliveryCrew","Переводит delivery time в человеко-часы отдельно от pickup, чтобы видеть реальную трудоемкость delivery stage.","Delivery time model, delivery crew.","Delivery payroll cost, stage labor cost, productivity metrics.","Нужно определить формулу"
"TOBE-LAB-005","Labor","Helper Labor Hours","helperHours = helperCount x max(helperMinutes, minHelperMinutes) / 60","Считает человеко-часы дополнительных helpers с учетом минимального оплачиваемого времени.","Heavy/bulky/access flags, helper count, min helper time.","Helper payroll, access/labor surcharge.","Нужно утвердить"
"TOBE-LAB-006","Labor","Billable vs Paid Labor Hours","laborVariance = billableLaborHours - paidLaborHours","Разделяет customer-billable labor и payroll-paid labor, чтобы видеть маржу на labor и не путать цену с выплатами.","Billable minutes, actual/paid minutes, crew records.","Labor margin, payroll audit, productivity analysis.","Нужны данные"
"TOBE-LAB-007","Labor","Labor Productivity Rate","productivity = totalEffectiveVolume / totalLaborHours","Показывает, сколько cu ft обрабатывается за человеко-час. Нужно для калибровки pickup/delivery time model.","Effective volume, labor hours.","Operations metrics, coefficient calibration.","Нужны данные"
"TOBE-PAY-001","Payroll","Crew Base Pay","crewBasePay = paidLaborHours x hourlyWage","Считает базовую зарплату crew по фактически оплачиваемым человеко-часам и ставке.","Paid labor hours, wage reference.","Payroll cost, fully loaded cost.","Нужен справочник"
"TOBE-PAY-002","Payroll","Crew Overtime Pay","overtimePay = overtimeHours x hourlyWage x overtimeMultiplier","Считает overtime отдельно, чтобы большие/сложные заказы не занижали payroll cost.","Paid hours, overtime threshold, wage reference.","Payroll cost, profitability guardrail.","Нужно утвердить"
"TOBE-PAY-003","Payroll","Payroll Burden","payrollBurden = crewGrossPay x payrollBurdenRate","Добавляет payroll taxes/insurance/benefits burden к зарплате, чтобы margin считался по fully loaded labor cost.","Crew gross pay, payroll burden rate.","Fully loaded labor cost.","Нужно утвердить CFO"
"TOBE-PAY-004","Payroll","Total Crew Cost","totalCrewCost = crewBasePay + overtimePay + payrollBurden + helperPay","Собирает полную cost of labor по заказу или stage.","Crew pay components, helper pay.","Operational cost base, contribution margin.","Нужно утвердить"
"TOBE-PAY-005","Payroll","Stage Labor Cost Allocation","stageLaborCost = laborHoursByStage x fullyLoadedHourlyRate","Распределяет fully loaded labor cost по pickup/interstate/delivery, чтобы маржинальность была видна по stage.","Labor hours by stage, fully loaded hourly rate.","Stage subtotal, stage margin analysis.","Нужно определить формулу"
"TOBE-BRK-001","Broker Payout","Broker Commission Base","brokerCommissionBase = approvedRevenueBase - excludedFees","Определяет базу, от которой считается выплата broker. Некоторые fees могут исключаться.","Final price, service fees, excluded fee list.","Broker commission.","Нужно утвердить CFO"
"TOBE-BRK-002","Broker Payout","Broker Commission","brokerCommission = brokerCommissionBase x brokerCommissionRate","Считает выплату broker как процент от утвержденной базы.","Commission base, broker commission rate.","Broker payout, net margin.","Нужно утвердить CFO"
"TOBE-BRK-003","Broker Payout","Broker Minimum / Cap","brokerPayout = min(max(calculatedCommission, minPayout), maxPayout)","Ограничивает broker payout минимумом/максимумом, чтобы выплаты были предсказуемы.","Calculated commission, payout min/max.","Broker payout, final profitability.","Нужно утвердить CFO"
"TOBE-BRK-004","Broker Payout","Broker Payout Eligibility","eligiblePayout = IF(orderStatus/paymentStatus qualifies, brokerPayout, 0)","Проверяет, когда broker payout должен начисляться: после estimate, invoice, payment, pickup или delivery.","Order status, payment status, payout policy.","Broker payout accrual.","Нужно утвердить"
"TOBE-DSP-001","Dispatcher Payout","Dispatcher Payout Base","dispatcherPayoutBase = ordersHandled x ratePerOrder OR revenueBase x dispatcherRate","Определяет базу для выплаты dispatcher: per order, процент от revenue или гибрид.","Orders handled, revenue base, dispatcher plan.","Dispatcher payout.","Нужно утвердить"
"TOBE-DSP-002","Dispatcher Payout","Dispatcher Payout","dispatcherPayout = dispatcherPayoutBase + bonus - penalty","Считает итоговую выплату dispatcher с бонусами/штрафами, если они применяются.","Dispatcher base, bonus rules, penalty rules.","Payroll/admin payout, profitability.","Нужно определить формулу"
"TOBE-DSP-003","Dispatcher Payout","Dispatcher Stage Allocation","dispatcherStageCost = dispatcherPayout x stageShare","Распределяет dispatcher payout по pickup/interstate/delivery, чтобы stage margin был честным.","Dispatcher payout, stage share rule.","Stage cost and margin.","Нужно утвердить"
