"Term","Русское название","Что означает","Где используется","Кто владеет / утверждает","Можно менять без разработчика?","Пример","Риск неправильного понимания"
"Variable","Изменяемая переменная","Одиночное значение или коэффициент, который влияет на расчет и может быть утвержден бизнесом: ставка, порог, процент, fee, multiplier.","tobe_variables_governance.csv; formula rows","CEO / CFO / Operations, зависит от переменной","Да, если есть governance, approval, versioning and benchmark preview","marginRate, directFixedFee, bulkyVolumeThreshold","Если hardcode в коде, бизнес не сможет безопасно менять pricing без разработчика."
"Variable set","Набор переменных","Группа связанных коэффициентов, которые должны меняться вместе, потому что описывают одну модель расчета.","Time/labor model, pickup/delivery coefficients","Operations / Finance / BA","Только как версия набора, не по одному случайному полю","pickupTimeCoefficients, deliveryTimeCoefficients","Если менять одно поле без версии набора, модель станет неконсистентной."
"Reference","Справочник","Таблица source of truth с утвержденными данными, из которой формулы берут значения. Обычно содержит много строк и действует по ключу: vehicleId, ZIP, planCode, itemType.","References sheets, source tables","Владелец справочника: Operations, Finance, Legal, Sales","Да, если есть owner, effective date, versioning and audit trail","Vehicles, Protection Plans, ZIP Dictionary","Если воспринимать справочник как формулу, данные начнут менять без контроля и сломают расчеты."
"Reference field","Поле справочника","Конкретная колонка внутри справочника. Само поле не является отдельной переменной; оно возвращает значение для выбранной строки справочника.","Variables governance, formulas using lookup/reference data","Владелец соответствующего справочника","Меняется через справочник, не как отдельный runtime variable","cargoInteriorHeightIn, doorOpeningWidthIn, minutesPerPieceByHandlingClass","Если считать reference field глобальной переменной, можно ошибочно применить одно значение ко всем vehicles/items/zones."
"Variable / Reference field","Переменная или поле справочника","Значение может быть задано как общий coefficient или как поле в справочнике по типу/зоне/vehicle/item. До реализации нужно выбрать модель хранения.","Formula planning, rules needing business decision","CEO / BA + владелец справочника","Только после решения: global variable или reference-driven value","locationTypeTimeMultiplier, helperActiveMinutesPerHeavyPiece","Если не выбрать модель хранения, разработчик может hardcode-ить общий коэффициент там, где нужен lookup по справочнику."
"Governance variable","Управленческая переменная","Переменная, которая управляет не только расчетом, но и правилом принятия решения: кто может approve, когда применять, как сохранять snapshot.","Approval, payout, helper policy, discount/margin rules","CEO / CFO / Operations / BA","Нет, требует approval workflow","partialHelperBillingPolicy, sideTransportApprovalRequired","Если менять как обычный coefficient, можно нарушить margin, payroll policy или audit trail."
"Rule set","Набор правил","Формализованное дерево условий. Обычно возвращает решение: allowed/blocked/manual review/min crew/vehicle required, а не просто число.","Hard access logic, physical feasibility, pricing guardrails","Operations / Safety / CEO / BA","Нет, меняется как versioned business rule","hardAccessConstraintRule, physicalFeasibilityReviewThreshold","Если упростить до одной переменной, потеряются edge cases и safety/operational constraints."
"Derived reference value","Производное значение из справочника","Значение, которое не вводится вручную и не утверждается как глобальный threshold. Оно вычисляется/подтягивается из выбранной строки справочника.","Selected vehicle/item/zone derived values","Владелец исходного справочника","Нет напрямую; менять исходный справочник","selectedVehicleCargoHeightIn","Если считать derived value глобальной переменной, появятся неверные правила вроде универсального 72 in для всех trucks."
"Item/reference field","Поле item или справочника","Значение может прийти из строки заказа или из item catalog/default reference. В snapshot нужно сохранить фактически использованное значение.","Item calculations, side transport, packaging/protection defaults","Broker input + Operations catalog owner","Broker может менять только input; default меняется через справочник","sideTransportAllowed, item.weight, item.height","Если не сохранить источник, будет непонятно, это broker override или catalog default."
"Formula","Формула","Правило расчета результата из inputs, variables and references. Формула должна показывать, что берется, откуда, на что умножается и куда идет результат.","Formula master sheets","BA / Product / Developer with CEO approval","Нет, изменение формулы = Formula Sprint/change request","stageMinutes = MAX(orderLevelTimeModelMinutes, stageItemTimeFloor)","Если менять формулу как данные, старые estimates перестанут быть воспроизводимыми."
"Input field","Поле ввода","Значение, которое broker/user вводит или выбирает в quote: item dimensions, weight, qty, packaging, route, access, service flags.","Quote Draft, Quick Quote transfer, UI fields","Broker / User; validation by system","Да, в draft; в estimate должно freeze snapshot","itemHeight, itemWeight, pickupAddressType","Если input не валидировать, неверные данные попадут в pricing и занизят цену."
"Snapshot value","Значение в snapshot","Замороженное значение, которое использовалось в утвержденном estimate. Оно нужно для аудита и воспроизводимости старых расчетов.","Estimate Document, Cost Breakdown, audit","System / BA governance","Нет, старый snapshot не пересчитывается silently","variablesSnapshot, referencesVersion, selectedVehicleCargoHeightIn","Если старые estimates пересчитывать по новым variables/reference, audit будет недостоверным."
"Approval status","Статус утверждения","Показывает готовность формулы/переменной/справочника: implemented, needs approval, needs data, needs definition, future.","All TO-BE sheets","BA / CEO / owner by block","Меняется только после review decision","Needs Business Approval, Ready for Formula Sprint","Если статус не вести, неутвержденная логика может попасть в разработку."
