"Variable ID","Variable / Coefficient","Описание логики на русском","Current Value","Unit","Source","Used In","Changeability / Approval"
"VAR-001","rounding","Определяет шаг округления итоговой customer price. Сейчас final price округляется вверх до ближайших $10.","10","USD","js/variables.js settings.rounding","Final Customer Price","Изменяемая переменная; менять только после CEO/CFO approval."
"VAR-002","repairCostPerCuFt","Используется в volume-based damage/repair surcharge: чем больше расчетный объем, тем выше внутренняя repair component.","0.1832","USD/cu ft","js/variables.js settings","Damage Surcharge volume model","Pricing variable."
"VAR-003","repairCostPerLb","Используется в weight-based damage/repair surcharge: чем больше расчетный вес, тем выше внутренняя repair component.","0.043","USD/lb","js/variables.js settings","Damage Surcharge weight model","Pricing variable."
"VAR-004","marginRate","Коммерческая маржа, которая добавляется к stage costs. Это ключевой коэффициент прибыльности.","0.3","rate","js/variables.js settings","Stage Margin","Ключевая коммерческая переменная."
"VAR-005","brokerFeeRate","Broker fee rate применяется при построении brokered/customer price и влияет на итоговую цену после операционной себестоимости.","0.04","rate","js/variables.js settings","Brokered Price","Ключевая коммерческая переменная."
"VAR-006","storagePerCuFtPerDay","Считает storage cost по объему и количеству дней хранения: volume x days x rate.","0.03333333333","USD/cu ft/day","js/variables.js settings","Storage Cost","Storage pricing variable."
"VAR-007","packagingPerShipment","AS-IS фиксированная packaging/handling сумма на shipment. В текущей логике частично смешивает упаковку и handling.","6.32","USD/order","js/variables.js settings","Pickup Handling, Packaging Total Display","Needs naming clarity: handling vs packaging."
"VAR-008","loadingFormulaA","Коэффициент A в AS-IS кривой расчета pickup loading minutes по объему для небольших shipment.","205.57","coefficient","js/variables.js settings","Pickup Loading Minutes volume model","Operational time coefficient."
"VAR-009","loadingFormulaB","Коэффициент B в AS-IS кривой расчета pickup loading minutes по объему для небольших shipment.","144.87","coefficient","js/variables.js settings","Pickup Loading Minutes volume model","Operational time coefficient."
"VAR-010","loadingVolumeThresholdCuFt","Volume threshold, после которого pickup loading time переходит на линейное добавление минут.","80","cu ft","js/variables.js settings","Pickup Loading Minutes volume model","Operational threshold."
"VAR-011","loadingThresholdMinutes","Базовое количество минут pickup loading на пороге объема; дальше добавляются минуты за объем сверх threshold.","73.13","minutes","js/variables.js settings","Pickup Loading Minutes volume model","Operational time coefficient."
"VAR-012","unloadingPerCuFtMinute","Delivery unloading time по volume model: total effective volume умножается на minutes per cu ft.","0.5","min/cu ft","js/variables.js settings","Delivery Unloading Minutes volume model","Operational time coefficient."
"VAR-013","packagingLoadingUnloadingPerLbMinute","Weight-based коэффициент времени для pickup/delivery: вес умножается на minutes per lb.","0.2","min/lb","js/variables.js settings","Weight model pickup/delivery minutes","Operational time coefficient."
"VAR-014","minLoadingMinutes","Минимум billable labor time для pickup = 40 минут; delivery minimum в AS-IS считается как minLoadingMinutes - 10 = 30 минут.","40","minutes","js/variables.js settings","Pickup and delivery labor minimum","Delivery uses minLoadingMinutes - 10."
