"Issue ID","Area","Severity","Type","Entity IDs","Entity Name","Finding","Decision","Test Assumption"
"FOR-NORM-001","Formulas","P1","Dependency mapping gap","SYS-001","Numeric value fallback","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-002","Formulas","P2","Related / overlapping formula","ITM-002; TBE-ITM-001","Physical Volume","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-003","Formulas","P1","Dependency mapping gap","ITM-004","Effective Volume Multiplier","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-004","Formulas","P2","Related / overlapping formula","ITM-005; TBE-ITM-002","Effective Volume","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-005","Formulas","P2","Related / overlapping formula","ITM-010; WARN-001-HEAVY-ITEM","Heavy Item Warning","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-006","Formulas","P1","Dependency mapping gap","ITM-012","Bulky Dimension Warning","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-007","Formulas","P2","Related / overlapping formula","VEH-001; TBE-VEH-001","Vehicle Fit","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-008","Formulas","P1","Dependency mapping gap","PROT-002","RV Protection Cost","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-009","Formulas","P1","Dependency mapping gap","PROT-003","FVP Protection Cost","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-010","Formulas","P2","Related / overlapping formula","STO-001; TBE-FEE-003","Storage Cost","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-011","Formulas","P1","Dependency mapping gap","FUEL-001","Internal Fuel Price","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-012","Formulas","P1","Dependency mapping gap","FUEL-002","Fuel Cost Per Mile","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-013","Formulas","P1","Dependency mapping gap","FUEL-003","Fuel Cost Per Unit Mile","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-014","Formulas","P1","Dependency mapping gap","PICK-001","Pickup Loading Minutes - Volume","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-015","Formulas","P1","Dependency mapping gap","PICK-002","Pickup Loading Minutes - Weight","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-016","Formulas","P1","Dependency mapping gap","DEL-002","Delivery Unloading Minutes - Weight","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-017","Formulas","P1","Dependency mapping gap","DEL-005","Delivery Handling Cost","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-018","Formulas","P1","Dependency mapping gap","INT-001","Interstate Maintenance","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-019","Formulas","P1","Dependency mapping gap","INT-002","Interstate Fuel","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-020","Formulas","P1","Dependency mapping gap","INT-003","Interstate Driver","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-021","Formulas","P1","Dependency mapping gap","INT-004","Interstate Cost","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-022","Formulas","P1","Dependency mapping gap","ACC-004","Access Long Carry Fee","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-023","Formulas","P1","Dependency mapping gap","ACC-005","Access Fees Total","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-024","Formulas","P1","Dependency mapping gap","ADJ-001","Special Labor Cost","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-025","Formulas","P1","Dependency mapping gap","FINAL-017","Item Reference Allocation Method","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-026","Formulas","P1","Dependency mapping gap","FINAL-018","Item Reference Price","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-027","Formulas","P1","Dependency mapping gap","SNAP-001","Estimate Snapshot Formula Version","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-028","Formulas","P1","Dependency mapping gap","TBE-FLOW-001","Calculation Trace","Review mapping: Variable mapping, Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-029","Formulas","P1","Dependency mapping gap","TBE-FLOW-002","Build Sequence","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-030","Formulas","P2","Related / overlapping formula","TBE-RTE-001; WARN-006-DIRECT-SERVICE-REVIEW","Route Type","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-031","Formulas","P2","Related / overlapping formula","TBE-RTE-002; WARN-005-OUT-OF-ZONE","ZIP Dictionary","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-032","Formulas","P1","Dependency mapping gap","TBE-RTE-002","ZIP Dictionary","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-033","Formulas","P2","Related / overlapping formula","TBE-RTE-003; WARN-006-DIRECT-SERVICE-REVIEW","Distance Source","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-034","Formulas","P1","Dependency mapping gap","TBE-RTE-003","Distance Source","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-035","Formulas","P2","Related / overlapping formula","TBE-RTE-004; WARN-005-OUT-OF-ZONE","Remote Premium","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-036","Formulas","P1","Dependency mapping gap","TBE-RTE-004","Remote Premium","Review mapping: Variable mapping, Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-037","Formulas","P2","Related / overlapping formula","TBE-ITM-001; ITM-002","Physical Volume","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-038","Formulas","P1","Dependency mapping gap","TBE-ITM-001","Physical Volume","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-039","Formulas","P2","Related / overlapping formula","TBE-ITM-002; ITM-005","Effective Volume","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-040","Formulas","P1","Dependency mapping gap","TBE-ITM-002","Effective Volume","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-041","Formulas","P1","Dependency mapping gap","TBE-ITM-003","Effective Height","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
