"Output ID","Result / Subtotal","Produced By","Goes To","Business Meaning"
"OUT-001","Pickup Zone / Delivery Zone","RTE formulas","Distance lookup, route label","Defines service areas used by calculation."
"OUT-002","Physical Volume","ITM-002","Total Shipment Volume, Effective Volume","Physical space per item."
"OUT-003","Effective Volume","ITM formulas","Vehicle Fit, Volume Model","Operational space used for pricing."
"OUT-004","Total Weight","ITM formulas","Vehicle Fit, Weight Model, Crew","Weight used for operational constraints."
"OUT-005","Selected Vehicle","VEH formulas","Pickup/Delivery mileage and fuel","Local vehicle cost basis."
"OUT-006","Pickup Cost","PICK formulas","Route Cost, Service Cost, Breakdown","Pickup subtotal."
"OUT-007","Interstate Cost","INT formulas","Route Cost, Service Cost, Breakdown","Linehaul subtotal."
"OUT-008","Delivery Cost","DEL formulas","Route Cost, Service Cost, Breakdown","Delivery subtotal."
"OUT-009","Access Fees","ACC formulas","Additional Charges","Access-related charges."
"OUT-010","Quote Adjustment","ADJ formulas","Raw Price","Special labor and legacy manual adjustment."
"OUT-011","Route Cost","FINAL formulas","Service Cost, Margin, Breakdown","Pickup + interstate + delivery."
"OUT-012","Service Cost","FINAL formulas","Price Excluding Broker Fee, Operational Cost","Operational baseline before margin/broker fee."
"OUT-013","Raw Price","FINAL formulas","Final rounding","Customer price before rounding."
"OUT-014","Final Customer Price","FINAL formulas","Estimate Document, My Estimates, Cost Breakdown","Customer-facing estimate amount."
"OUT-015","Estimate Snapshot","SNAP formulas","Estimate Document and audit","Frozen result for historical estimates."
