"ID","Переменная / справочник","Описание логики на русском","Тип","Где используется","Владелец","Статус","Правило governance"
"VAR-TBE-001","roundingIncrement","Шаг округления final customer price. Нужен, чтобы клиент видел аккуратную цену без случайных cents.","Variable","Final customer price","CEO / Finance","Нужно утвердить","Изменение требует benchmark preview и новой версии."
"VAR-TBE-002","marginRate","Target margin rate. Определяет прибыльность после internal cost base и должен управляться CEO/CFO.","Variable","Margin application","CEO / CFO","Нужно утвердить","Ключевая коммерческая переменная; менять только с approval."
"VAR-TBE-003","brokerFeeRate","Broker fee rate. Должен иметь утвержденное место в price build order относительно margin и discount.","Variable","Broker fee / final price","CEO / CFO","Нужно утвердить","Нужно утвердить место применения относительно margin/discount."
"VAR-TBE-004","directFixedFee","Fixed component direct/specific-date fee. Добавляется, когда service нарушает consolidated route economics.","Variable","Direct / specific date","CEO / Operations","Нужно утвердить","$300 из транскриба считать примером до approval."
"VAR-TBE-005","directMileageFee","Mileage component direct/specific-date fee. Умножается на exact/recalculated miles для direct service.","Variable","Direct / specific date","CEO / Operations","Нужно утвердить","$2/mile из транскриба считать примером до approval."
"VAR-TBE-006","remoteZoneCoefficient","Remote zone coefficient или premium. Компенсирует высокую road cost для удаленных зон.","Variable","Remote/corridor zones","CEO / Operations","Нужно утвердить","1.5 из транскриба считать примером до data validation."
"VAR-TBE-007","bulkyVolumeThreshold","Bulky/moving threshold. Запускает premium или manual review для больших shipment, например 250+ cu ft.","Variable","Bulky/moving premium","CEO / Operations","Нужно утвердить","250+ cu ft обсуждалось как threshold."
"VAR-TBE-008","pickupTimeCoefficients","Набор коэффициентов pickup time model: base time, minutes per item/cu ft/lb, access/heavy impacts.","Variable set","Pickup labor","Operations","Нужны данные","Коэффициенты брать из фактических time metrics."
"VAR-TBE-009","deliveryTimeCoefficients","Набор коэффициентов delivery time model. Должен быть отдельным от pickup, потому что delivery обычно быстрее.","Variable set","Delivery labor","Operations","Нужны данные","Не копировать pickup coefficients без approval."
"VAR-TBE-010","crateMaterialPrice","Crate material price reference. Используется в формуле surface area x material price.","Reference","Custom crate","Operations / Purchasing","Нужен источник данных","Approved material/vendor price table."
