"Canonical Variable ID","Name","Description","Current / Example Value","Unit / Type","Source","Used In","Owner","Data Readiness","Governance","Alias IDs","Source Scopes","Conflict","Test Assumption"
"VAR-001","rounding","Определяет шаг округления итоговой customer price. Сейчас final price округляется вверх до ближайших $10.","10","USD","js/variables.js settings.rounding","Final Customer Price","Business owner to confirm","Ready","Изменяемая переменная; менять только после CEO/CFO approval.","","AS-IS","No",""
"VAR-002","repairCostPerCuFt","Используется в volume-based damage/repair surcharge: чем больше расчетный объем, тем выше внутренняя repair component.","0.1832","USD/cu ft","js/variables.js settings","Damage Surcharge volume model","Business owner to confirm","Ready","Pricing variable.","","AS-IS","No",""
"VAR-003","repairCostPerLb","Используется в weight-based damage/repair surcharge: чем больше расчетный вес, тем выше внутренняя repair component.","0.043","USD/lb","js/variables.js settings","Damage Surcharge weight model","Business owner to confirm","Ready","Pricing variable.","","AS-IS","No",""
"VAR-TBE-002","marginRate","Target margin rate. Определяет прибыльность после internal cost base и должен управляться CEO/CFO.","","Variable","","Margin application","CEO / CFO","Test Assumption","Ключевая коммерческая переменная; менять только с approval.","VAR-004","AS-IS; TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-003","brokerFeeRate","Broker fee rate. Должен иметь утвержденное место в price build order относительно margin и discount.","","Variable","","Broker fee / final price","CEO / CFO","Test Assumption","Нужно утвердить место применения относительно margin/discount.","VAR-005","AS-IS; TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-006","storagePerCuFtPerDay","Считает storage cost по объему и количеству дней хранения: volume x days x rate.","0.03333333333","USD/cu ft/day","js/variables.js settings","Storage Cost","Business owner to confirm","Ready","Storage pricing variable.","","AS-IS","No",""
"VAR-007","packagingPerShipment","AS-IS фиксированная packaging/handling сумма на shipment. В текущей логике частично смешивает упаковку и handling.","6.32","USD/order","js/variables.js settings","Pickup Handling, Packaging Total Display","Business owner to confirm","Ready","Needs naming clarity: handling vs packaging.","","AS-IS","No",""
"VAR-008","loadingFormulaA","Коэффициент A в AS-IS кривой расчета pickup loading minutes по объему для небольших shipment.","205.57","coefficient","js/variables.js settings","Pickup Loading Minutes volume model","Business owner to confirm","Ready","Operational time coefficient.","","AS-IS","No",""
"VAR-009","loadingFormulaB","Коэффициент B в AS-IS кривой расчета pickup loading minutes по объему для небольших shipment.","144.87","coefficient","js/variables.js settings","Pickup Loading Minutes volume model","Business owner to confirm","Ready","Operational time coefficient.","","AS-IS","No",""
"VAR-010","loadingVolumeThresholdCuFt","Volume threshold, после которого pickup loading time переходит на линейное добавление минут.","80","cu ft","js/variables.js settings","Pickup Loading Minutes volume model","Business owner to confirm","Ready","Operational threshold.","","AS-IS","No",""
"VAR-011","loadingThresholdMinutes","Базовое количество минут pickup loading на пороге объема; дальше добавляются минуты за объем сверх threshold.","73.13","minutes","js/variables.js settings","Pickup Loading Minutes volume model","Business owner to confirm","Ready","Operational time coefficient.","","AS-IS","No",""
"VAR-012","unloadingPerCuFtMinute","Delivery unloading time по volume model: total effective volume умножается на minutes per cu ft.","0.5","min/cu ft","js/variables.js settings","Delivery Unloading Minutes volume model","Business owner to confirm","Ready","Operational time coefficient.","","AS-IS","No",""
"VAR-013","packagingLoadingUnloadingPerLbMinute","Weight-based коэффициент времени для pickup/delivery: вес умножается на minutes per lb.","0.2","min/lb","js/variables.js settings","Weight model pickup/delivery minutes","Business owner to confirm","Ready","Operational time coefficient.","","AS-IS","No",""
