"Step","Execution Block","Formula IDs / Scope","Inputs Required","References Required","Variables Required","Outputs","Trace Required","Failure / Warning","Readiness"
"1","Normalize Order Inputs","Order input contract","Quote draft, quick quote transfer, route flags, item rows, access conditions.","Item catalog defaults.","N/A","Normalized quote payload.","Yes","Missing required input.","Test Assumption"
"2","Route Classification","TBE-RTE-*","Pickup ZIP, delivery ZIP, service flags.","ZIP Dictionary, Service Areas, Manual ZIP Override.","zoneMultiplier, route type rules.","Route type, zone class, branch/warehouse, distance method.","Yes","Unknown ZIP, out-of-zone, manual override required.","Test Assumption"
"3","Item Physical Calculations","AS-IS item formulas + TBE-ITEM/HND/VEH","Dimensions, qty, weight, flags, packaging, protection.","Item Catalog, Handling Rules.","non-stack, heavy, threshold variables.","Physical volume, effective volume, total weight, handling flags.","Yes","Missing dimensions/weight, non-stack, heavy item.","Test Assumption"
"4","Vehicle Fit and Capacity","TBE-CAP-*, TBE-VEH-*","Effective volume, total weight, max item dimensions/weight.","Vehicle Body Specs, Route Capacity Cost.","capacity pricing method, thresholds.","Vehicle fit, utilization, payload utilization, density, capacity factor.","Yes","Vehicle does not fit, payload/volume > 100%.","Ready for Sprint"
"5","Crew and Time Model","TBE-TIME-*, TBE-HND-*","Volume, weight, item count, access, crew overrides.","Labor rates, Historical Time Metrics.","loading curve variables, unloading coefficient, helper min.","Pickup/delivery minutes, crew size, helper minutes.","Yes","Crew > standard, helper minimum triggered.","Ready for Sprint"
"6","Pickup Stage","Pickup formulas","Route, access, crew/time, direct flags.","Labor, Vehicles, Fuel, Access Conditions.","stage rates, direct fee, mileage fee.","Pickup subtotal.","Yes","Direct/specific date requires fee/distance.","Ready for Sprint"
"7","Interstate Stage","Interstate + capacity/density formulas","Route, distance, capacity factor, selected vehicle.","Distance Matrix, Route Capacity Cost, Vehicles, Fuel.","cost per cu ft/lb, full route cost.","Interstate subtotal.","Yes","Weight-limited/volume-limited mismatch, remote premium.","Ready for Sprint"
"8","Delivery Stage","Delivery formulas","Route, access, crew/time, delivery options.","Labor, Vehicles, Access Conditions.","unloading coefficient, stage rates.","Delivery subtotal.","Yes","Elevator/floor/COI/access warnings.","Ready for Sprint"
"9","Packaging / Crate / Protection / Storage","Packaging, crate, RV/FVP/DV, storage","Item packaging, declared value, storage flags.","Packaging rates, crate materials, protection plans, storage rates.","crate material/labor/margin, FVP fixed fee/rate.","Packaging, crate, protection, storage subtotals.","Yes","DV future, crate needs approval, missing declared value.","Test Assumption"
"10","Fees / Adjustments / Margin","TBE-MRG-*, fee formulas","Stage subtotals, broker/dispatcher plan, discount.","Compensation plans, overhead allocation.","marginRate, minimumContributionMargin, discount order.","Cost base, margin, fees, payouts, contribution margin.","Yes","Low margin, discount violates guardrail.","Ready for Sprint"
"11","Final Price and Rounding","Final total formulas","All subtotals and adjustments.","N/A","roundingIncrement.","Final customer price, internal total, admin breakdown.","Yes","Negative margin or missing required subtotal.","Test Assumption"
"12","Snapshot and Output","TBE-SNAP-*","Inputs, outputs, trace, warnings, versions.","Formula version registry, reference versions.","N/A","Immutable estimate snapshot, cost breakdown payload.","Yes","Snapshot missing formula/variable/reference version.","Test Assumption"
