"ID","Справочник","Описание логики на русском","Для чего нужен","Ключевые поля","Где используется","Статус / риск"
"REF-TBE-001","ZIP Dictionary","Главный справочник route classification: ZIP определяет service area, branch и zone class.","Определять service area, branch, core/corridor/remote/out-of-zone.","ZIP, serviceAreaId, branchId, zoneClass, activeFlag","Route, distance, zone fees","Нужен отдельный source of truth."
"REF-TBE-002","Service Areas","Service area reference задает warehouse point, density/corridor/remote logic и ownership зоны.","Хранить branch, warehouse point, zone density и правила зоны.","serviceAreaId, warehousePoint, densityClass, corridorFlag","Route pricing","Нужен owner."
"REF-TBE-003","Distance Matrix / Route Engine","Distance source для local, interstate and direct mileage; должен различать exact и average methods.","Давать local/interstate/exact mileage.","origin, destination, miles, method, version","Pickup/interstate/delivery/direct","Нужна политика average vs exact."
"REF-TBE-004","Vehicles","Vehicle reference позволяет добавлять/менять машины без переписывания формул. Должен хранить не только capacity/payload/cost, но и ссылки на реальные cargo body dimensions.","Выбирать vehicle и считать cost без изменения формул.","vehicleType, vehicleName, capacityVolume, capacityWeight, MPG, costPerMile, cargoBodySpecId, activeFlag","Vehicle fit, interstate, local operations, dimensional fit","Обязателен до scaling; dimensions должны быть отдельным source of truth."
"REF-TBE-005","Labor","Labor reference хранит crew roles, wage, minimum time and time coefficients for pickup/delivery/access.","Хранить crew, helper, wage и time coefficients.","role, stage, wage, minTime, coefficient","Pickup/delivery/access","Нужны time metrics."
"REF-TBE-006","Items Catalog","Items catalog задает default dimensions, weight and handling flags for item-level calculations.","Default dimensions, weight, handling flags.","itemType, dimensions, weight, fragile, nonStackDefault","Item calculations","Есть AS-IS, нужно расширять."
"REF-TBE-007","Packaging / Crate Materials","Packaging/crate material reference нужен для size-based crate formula and approved material prices.","Материалы и ставки для crate.","materialType, unitCost, wasteCoeff, vendor","Custom crate","Нужна validation operations."
"REF-TBE-008","Protection Plans","Protection plans reference определяет RV/FVP/DV pricing, fixed fees and customer wording.","RV/FVP/DV pricing и customer wording.","planCode, rate, fixedFee, included, requiresConfirmation","Protection","Нужен legal/finance approval."
"REF-TBE-009","Storage Rates","Storage rates reference задает тарифы хранения по volume/time и effective date.","Storage by volume/time.","rate, unit, effectiveDate","Storage","Сохранять snapshot compatibility."
"REF-TBE-010","Benchmark Cases","Benchmark cases reference нужен для preview impact перед сохранением pricing variables.","Preview changes before saving variables.","caseId, inputs, expectedSubtotal, expectedTotal","Governance/UAT","Required before variable admin."
"REF-TBE-011","Payroll Roles / Wage Rates","Справочник ставок по ролям нужен для crew pay, helper pay и fully loaded labor cost.","Содержит ставки оплаты crew/helper/driver по role, branch, effective date.","role, branch, hourlyWage, overtimePolicy, effectiveDate","Payroll, labor cost, margin","Нужен CFO/Ops owner."
"REF-TBE-012","Broker Compensation Plans","Определяет broker commission rules, eligibility, caps/floors and payout event.","Хранит правила выплат broker по broker/channel/source.","brokerId, channel, commissionRate, cap, floor, eligibilityEvent","Broker payout, net margin","Нужен CFO/Sales approval."
"REF-TBE-013","Dispatcher Compensation Plans","Определяет модель выплат dispatcher и allocation по stages/orders.","Хранит per-order/per-revenue/KPI payout rules.","dispatcherId, payoutType, rate, bonusRule, penaltyRule","Dispatcher payout, fully loaded cost","Нужно решить MVP model."
"REF-TBE-014","Overhead Allocation Rules","Нужен для fully loaded cost и contribution margin.","Определяет, как распределять admin/ops overhead на заказ.","overheadType, allocationMethod, rate, effectiveDate","Fully loaded cost, contribution margin","Может быть audit-only на MVP."
"REF-TBE-015","Capacity Economics","Нужен для route capacity opportunity cost и bulky premium.","Хранит route capacity rate, utilization thresholds and premium rules.","routeType, capacityUnitRate, utilizationThreshold, premiumMultiplier","Capacity premium, margin guardrail","Нужна data validation."
"REF-TBE-016","Location / Address Types","Справочник типов точки pickup/delivery. UI уже собирает House, Apartments, Business, Warehouse, Auction; справочник должен задавать, как тип точки влияет на время, усилие, доступ, crew и риск ожидания.","Отделить address type от access conditions и использовать его как источник коэффициентов time/effort.","addressType, stage, baseTimeMultiplier, fixedLocationMinutes, accessComplexityMultiplier, crewImpact, loadingDockDefault, parkingComplexity, coiDefault, activeFlag","Pickup time, delivery time, access effort, crew split, labor cost, margin guardrail","Нужен источник данных и бизнес-утверждение коэффициентов."
"REF-TIME-001","Historical Time Metrics","Фактическое время прошлых заказов для калибровки pickup/delivery коэффициентов.","Хранить фактические stop/stage times and context.","orderId, stage, addressType, volume, weight, itemCount, crew, actualMinutes, dataQuality","Pickup/delivery time model, productivity, confidence","Нужен сбор данных и правила качества."
"REF-TIME-002","Access Time Reference","Минуты влияния floor/stairs/elevator/long carry/COI/narrow access.","Хранит stage-specific access time impacts.","accessType, stage, fixedMinutes, multiplier, confidence","Access time impact","Нужно избежать double-counting с access fees."
"REF-TIME-003","Packaging Time Reference","Время упаковки по packaging type и item count.","Хранит minutes per item and minimums.","packagingType, minutesPerItem, minimumMinutes, complexityClass","Packing minutes, payroll","Нужна калибровка operations."
"REF-TIME-004","Crate Labor Reference","Время изготовления crate по size/complexity.","Хранит minutes per sq ft and minimum labor.","crateType, surfaceAreaBand, minutesPerSqFt, minimumMinutes","Crate labor minutes","Нужно утвердить вместе с crate formula."
"REF-TIME-005","Time Data Quality Rules","Правила доверия к time data.","Определяет trusted/estimated/incomplete/excluded.","dataQualityStatus, minimumSampleSize, confidenceScore, exclusionReason","Confidence score, coefficient calibration","Без quality rules coefficients могут быть искажены."
"REF-TBE-017","Item Handling / Crew Feasibility Rules","Справочник правил item-level handling. Главный driver для one-person feasibility - вес самой тяжелой физической единицы, а не общий объем и не weight x quantity. Volume остается важным для capacity/time, но не должен автоматически означать 2+ crew.","Определять, можно ли pickup/delivery выполнить одним человеком, когда нужен helper, сколько мест обрабатывать, и какие lightweight bulky exceptions разрешены.","itemType, unitItemWeightBand, totalPieceBand, heavyPieceThreshold, itemLengthBand, awkwardnessClass, onePersonEligibleFlag, minCrew, minutesPerPiece, helperActiveMinutes, exceptionRule, activeFlag","Item handling score, crew split, piece handling time, helper active time, pickup/delivery labor cost, margin guardrail","Нужно утвердить thresholds по unit weight, piece count, helper policy и собрать field feedback."
