"ID","Блок","Формула / переменная","Формульный расчет","Описание логики на русском","Откуда берется","Куда передается","Статус согласования","Вопрос CEO"
"TBE-ITM-001","Item Calculations","Physical Volume","(Length x Width x Height / 1728) x Quantity","Считает физический объем item в cubic feet с учетом количества.","Item row / Quick Quote catalog transfer / item catalog defaults.","Effective volume, vehicle fit, total volume.","Готово к Formula Sprint","Округляем item volume или только total/effective volume?"
"TBE-ITM-002","Item Calculations","Effective Volume","physicalVolume adjusted by stackability / fragile / crate / bulky / handling coefficients","Считает operational volume, который отражает не только физический размер, но и сложность перевозки.","Item row flags, catalog defaults, variables.","Vehicle fit, crew logic, labor model.","Нужно определить формулу","Какие coefficients входят в MVP?"
"TBE-ITM-003","Non-stack","Effective Height","IF nonStack = TRUE THEN 96 in ELSE item height","Если предмет non-stackable, он занимает высоту 8 ft / 96 in для effective volume.","Item row non-stack checkbox, item height.","Effective volume.","Нужно утвердить","Всегда 96 in или зависит от vehicle/route?"
"TBE-ITM-004","Bulky / Moving","Bulky Premium","IF totalVolume >= bulkyThreshold THEN bulkyPremium/reviewFlag","Большие moving-like заказы должны получать premium или обязательный review, чтобы быть выгодными.","Total volume, item count, route type.","Vehicle/crew/direct review/final price.","Нужно утвердить","Threshold 250+ cu ft фиксируем? Какой premium?"
"TBE-VEH-001","Vehicle","Vehicle Fit","select smallest vehicle where capacityVolume >= effectiveVolume AND capacityWeight >= totalWeight","Vehicle выбирается по справочнику capacity, а не вручную и не hardcoded.","Effective volume, total weight, vehicle reference.","Interstate cost, local operations.","Нужен справочник","Какие vehicle types и capacity утверждаем?"
"TBE-CREW-001","Crew","Crew Split","pickupCrew = f(pickup complexity); deliveryCrew = f(delivery complexity)","Pickup crew и delivery crew считаются отдельно, потому что pickup и delivery имеют разную трудоемкость.","Item totals, access conditions, labor reference.","Pickup labor, delivery labor.","Нужно определить формулу","Какие условия повышают crew?"
"TBE-LAB-001","Labor","Pickup Time","basePickupTime + itemCountRate + volumeRate + weightRate + accessImpact","Pickup time считается отдельно и может быть существенно выше delivery.","Item totals, pickup access fields, time metrics.","Pickup labor subtotal.","Нужны данные","Какие time metrics собираем как source of truth?"
"TBE-LAB-002","Labor","Delivery Time","baseDeliveryTime + itemCountRate + volumeRate + weightRate + accessImpact","Delivery time должен иметь собственные коэффициенты, не копировать pickup.","Item totals, delivery access fields, time metrics.","Delivery labor subtotal.","Нужны данные","Подтверждаем отдельную модель delivery?"
"TBE-VEH-002","Vehicle","Vehicle Dimensional Fit","vehicleDimensionalFit = itemLength <= cargoInteriorLengthIn AND itemWidth <= cargoInteriorWidthIn AND itemHeight <= cargoInteriorHeightIn","Проверяет, входит ли самый крупный item в реальные внутренние габариты кузова. Это отдельная проверка от общего volume/payload.","Item dimensions; Vehicle Dimensions / Cargo Body Specs reference.","Vehicle selection, manual review, box truck recommendation.","Нужен справочник","Утверждаем как обязательный vehicle fit guardrail?"
"TBE-VEH-003","Vehicle","Door Opening Fit","doorOpeningFit = itemWidth <= doorOpeningWidthIn AND itemHeight <= doorOpeningHeightIn","Даже если item помещается внутри кузова, он может не пройти через задний/боковой проем. Это должно давать warning/manual review.","Item dimensions; vehicle door opening dimensions.","Physical feasibility, manual review, vehicle upgrade.","Нужен справочник","Утверждаем как обязательный vehicle fit guardrail?"
