"Type","Canonical ID","Name","Operational Screen","Section","Active Key / Fields","Data Readiness"
"Variable","VAR-001","rounding","Variables","Pricing and Margin","rounding","Ready"
"Variable","VAR-002","repairCostPerCuFt","Variables","Pricing and Margin","repairCostPerCuFt","Ready"
"Variable","VAR-003","repairCostPerLb","Variables","Pricing and Margin","repairCostPerLb","Ready"
"Variable","VAR-TBE-002","marginRate","Variables","Pricing and Margin","marginRate","Test Assumption"
"Variable","VAR-TBE-003","brokerFeeRate","Variables","Pricing and Margin","brokerFeeRate","Test Assumption"
"Variable","VAR-006","storagePerCuFtPerDay","Variables","Protection, Storage and Packaging","storagePerCuFtPerDay","Ready"
"Variable","VAR-007","packagingPerShipment","Variables","Protection, Storage and Packaging","packagingPerShipment","Ready"
"Variable","VAR-008","pickupCurveAnchorVolume","Variables","Labor and Time","loadingFormulaA","Ready"
"Variable","VAR-009","pickupCurveAnchorMinutes","Variables","Labor and Time","loadingFormulaB","Ready"
"Variable","VAR-010","pickupCurveTransitionVolume","Variables","Labor and Time","loadingVolumeThresholdCuFt","Ready"
"Variable","VAR-011","pickupCurveTransitionMinutes","Variables","Labor and Time","loadingThresholdMinutes","Ready"
"Variable","VAR-012","unloadingPerCuFtMinute","Variables","Labor and Time","unloadingPerCuFtMinute","Ready"
"Variable","VAR-013","packagingLoadingUnloadingPerLbMinute","Variables","Protection, Storage and Packaging","packagingLoadingUnloadingPerLbMinute","Ready"
"Variable","VAR-014","minimumPickupLoadingMinutes","Variables","Labor and Time","minLoadingMinutes","Ready"
"Variable","VAR-015","wagePerMinute","Variables","Labor and Time","wagePerMinute","Ready"
"Variable","VAR-016","pickupWagePerMile","Variables","Labor and Time","pickupWagePerMile","Ready"
"Variable","VAR-017","interstateDriverCostPerMile","Variables","Pricing and Margin","interstateDriverCostPerMile","Ready"
"Variable","VAR-TBE-014","managementFee","Variables","Pricing and Margin","managementFee","Test Assumption"
"Variable","VAR-019","dispatchFee","Variables","Pricing and Margin","dispatchFee","Ready"
"Variable","VAR-020","coiFee","Variables","Access and Service","coiFee","Ready"
"Variable","VAR-021","stairsFeePerFloor","Variables","Access and Service","stairsFeePerFloor","Ready"
"Variable","VAR-022","narrowAccessFee","Variables","Access and Service","narrowAccessFee","Ready"
"Variable","VAR-023","longCarryFeePer50Ft","Variables","Access and Service","longCarryFeePer50Ft","Ready"
"Variable","VAR-024","priorityDateFee","Variables","Pricing and Margin","priorityDateFee","Ready"
"Variable","VAR-025","exclusiveDeliveryMultiplier","Variables","Labor and Time","exclusiveDeliveryMultiplier","Ready"
"Variable","VAR-026","extraLaborRate","Variables","Labor and Time","extraLaborRate","Ready"
"Variable","VAR-027","interstateVehicleName","Variables","Capacity and Vehicle Economics","interstateVehicleName","Ready"
"Variable","VAR-028","fuel currentAvg / fuelSurchargePct","Variables","Pricing and Margin","fuelPrices","Ready"
"Variable","VAR-029","protectionPlans.Full Coverage","Variables","Protection, Storage and Packaging","protectionPlans.Full Coverage","Ready"
"Variable","VAR-030","packagingRates","Variables","Protection, Storage and Packaging","packagingRates","Ready"
"Variable","VAR-TBE-001","roundingIncrement","Variables","Pricing and Margin","rounding","Test Assumption"
"Variable","VAR-TBE-004","directFixedFee","Variables","Access and Service","directFixedFee","Test Assumption"
"Variable","VAR-TBE-005","directMileageFee","Variables","Access and Service","directMileageFee","Test Assumption"
"Variable","VAR-TBE-006","remoteZoneCoefficient","Variables","Pricing and Margin","remoteZoneCoefficient","Test Assumption"
"Variable","VAR-TBE-007","bulkyVolumeThreshold","Variables","Pricing and Margin","bulkyVolumeThreshold","Test Assumption"
"Variable","VAR-TBE-008","pickupTimeCoefficients","Variables","Labor and Time","pickupTimeCoefficients","Test Assumption"
"Variable","VAR-TBE-009","deliveryTimeCoefficients","Variables","Labor and Time","deliveryTimeCoefficients","Test Assumption"
"Variable","VAR-TBE-010","crateMaterialPrice","Variables","Protection, Storage and Packaging","crateMaterialPrice","Test Assumption"
"Variable","VAR-TBE-011","crateWasteCoefficient","Variables","Protection, Storage and Packaging","crateWasteCoefficient","Test Assumption"
"Variable","VAR-TBE-012","storageRate","Variables","Protection, Storage and Packaging","storagePerCuFtPerDay","Test Assumption"
"Variable","VAR-TBE-013","fvpRate / fvpFixedFee","Variables","Pricing and Margin","protectionPlans.Full Coverage","Test Assumption"
"Variable","VAR-TBE-015","hourlyWageByRole","Variables","Labor and Time","hourlyWageByRole","Test Assumption"
