"Business Formula ID","Existing / Related Formula ID","Relationship","Notes","Priority"
"INT-CAP-001-DENSITY-THRESHOLD","TBE-CAP-006","Detail of","Vehicle density capacity equals payload / capacity and supports density threshold.","P0"
"INT-CAP-002-VOLUME-UTILIZATION","TBE-CAP-001","Explicit implementation ID for","Volume utilization already exists conceptually.","P0"
"INT-CAP-003-PAYLOAD-UTILIZATION","TBE-CAP-002","Explicit implementation ID for","Payload utilization already exists conceptually.","P0"
"INT-CAP-004-CAPACITY-CONSTRAINT-SELECTOR","TBE-CAP-007","Detail of","Adds exact selector naming for weight-limited vs volume-limited.","P0"
"INT-CAP-005-INTERSTATE-COST-BASIS","TBE-CAP-008 / TBE-CAP-009 / TBE-CAP-010","Implementation detail for","Defines MAX utilization as cost basis; dual cost remains guardrail/alternative.","P0"
"INT-CAP-006-VOLUME-LIMITED-LOAD","TBE-CAP-007","Explicit flag from","Volume-limited flag derived from utilization comparison.","P0"
"INT-CAP-007-WEIGHT-LIMITED-LOAD","TBE-CAP-007","Explicit flag from","Weight-limited flag derived from utilization comparison.","P0"
"LAB-TIME-001-VOLUME-BASED-HANDLING-TIME","TBE-TIME-012","Corrects/detail of","Volume handling is a separate scenario, not summed with weight handling.","P0"
"LAB-TIME-002-WEIGHT-BASED-HANDLING-TIME","TBE-TIME-012","Corrects/detail of","Weight handling is a separate scenario, not summed with volume handling.","P0"
"LAB-TIME-003-HANDLING-TIME-SELECTOR","TBE-TIME-012","Corrects","Base handling minutes must use MAX(volumeHandlingMinutes, weightHandlingMinutes).","P0"
"LAB-TIME-004-PICKUP-DELIVERY-TIME-SPLIT","TBE-TIME-013","Extends","Pickup and delivery use separate multipliers.","P0"
"LAB-TIME-005-MINIMUM-HANDLING-TIME","TBE-TIME-014","Related to","Minimum billable/helper logic extended to handling minutes.","P0"
"LAB-TIME-006-PICKUP-TIME-COEFFICIENT","TBE-TIME-012","Detail of","Explicit pickup multiplier variable.","P0"
"LAB-TIME-007-DELIVERY-TIME-COEFFICIENT","TBE-TIME-013","Detail of","Explicit delivery multiplier variable.","P0"
"FIT-001-DIMENSIONAL-FIT","TBE-VEH-002","Explicit implementation ID for","Dimensional fit already exists conceptually.","P0"
"FIT-002-CAPACITY-FIT-BY-VOLUME","TBE-CAP-001 / TBE-WARN-002","Detail of","Volume fit feeds warning engine.","P0"
"FIT-003-CAPACITY-FIT-BY-WEIGHT","TBE-CAP-002 / TBE-WARN-002","Detail of","Weight fit feeds warning engine.","P0"
"FIT-004-FIT-FAILURE-WARNING","TBE-WARN-002","Explicit implementation ID for","Vehicle fit warning expanded to dimensional, volume, weight.","P0"
"FIT-005-RECOMMENDED-VEHICLE-CHANGE","TBE-VEH-006","Related to","Requires vehicle reference and recommendation policy.","P0"
"WARN-001-HEAVY-ITEM","TBE-WARN-003","Detail of","Crew review warning for max single item weight.","P0"
"WARN-002-BULKY-ORDER","TBE-CAP-004","Related to","Bulky capacity premium/review warning.","P0"
"WARN-003-ITEM-DOES-NOT-FIT-VEHICLE","TBE-WARN-002","Explicit implementation ID for","Vehicle fit warning.","P0"
"WARN-004-MORE-THAN-2-PEOPLE","TBE-WARN-003","Detail of","Crew review for required crew above standard.","P0"
"WARN-005-OUT-OF-ZONE","TBE-RTE-002 / TBE-RTE-004","Related to","Route/ZIP warning for unsupported or remote zones.","P0"
"WARN-006-DIRECT-SERVICE-REVIEW","TBE-RTE-001 / TBE-RTE-003","Related to","Direct/specific date needs fee and review.","P0"
"WARN-007-MANAGER-APPROVAL-REQUIRED","TBE-WARN-004","Explicit implementation ID for","Quote can save / approval gate.","P0"
