"Formula ID","Число / коэффициент","Variable ID","Название переменной","Где используется","Описание логики на русском","Источник / calibration","Owner","Status","Risk / Notes"
"TBE-TIME-012","80","VAR-TIME-006","loadingCurveVolumeThresholdCuFt","Piecewise loading formula","Порог объема, после которого формула времени переходит на другую ветку.","Historical Time Metrics / measured orders","Operations","Нужно утвердить","Не оставлять hardcoded в коде."
"TBE-TIME-012","205.57","VAR-TIME-007","loadingCurveNumerator","Pickup loading minutes","Калиброванный коэффициент первой ветки loading curve.","Historical Time Metrics / measured orders","Operations","Нужно утвердить","Проверить на benchmark cases."
"TBE-TIME-012","144.87","VAR-TIME-008","loadingCurveDenominatorOffset","Pickup loading minutes","Калиброванный offset denominator в первой ветке loading curve.","Historical Time Metrics / measured orders","Operations","Нужно утвердить","Проверить устойчивость на малом volume."
"TBE-TIME-012","73.13","VAR-TIME-009","loadingCurveBaseMinutes","Pickup loading minutes","Базовые minutes во второй ветке loading curve.","Historical Time Metrics / measured orders","Operations","Нужно утвердить","Проверить continuity около threshold."
"TBE-TIME-012","0.5","VAR-TIME-010","loadingPostThresholdMinutesPerCuFt","Pickup loading minutes","Минуты за каждый cubic foot сверх threshold.","Historical Time Metrics / measured orders","Operations","Нужно утвердить","Ключевой slope для bulky orders."
"TBE-TIME-013","TBD","VAR-TIME-011","unloadingTimeCoefficient","Delivery unloading minutes","Delivery/unloading должен иметь отдельный коэффициент, а не скрытую формулу minLoadingMinutes - 10.","Historical Time Metrics / measured orders","Operations","Нужно определить","Не копировать pickup без approval."
"TBE-ACC-006","TBD","VAR-ACC-001","freeFloorCount","Billable floors","Количество бесплатных этажей до начисления stairs fee.","Business rule / CEO approval","CEO / Operations","Нужно утвердить","В транскрибе обсуждалось, что fee начинается не с первого этажа."
"TBE-ACC-008","2 hours TBD","VAR-ACC-003","extraLaborMinimumHours","Extra labor/helper paid time","Минимум оплачиваемого времени helper/extra labor.","Business rule / Ops","Operations / Finance","Нужно утвердить","В транскрибе обсуждался minimum 2 hours."
"TBE-CAP-009","TBD","VAR-CAP-003","fullRouteCapacityCost","Interstate capacity cost","Полная стоимость capacity по route/truck перед распределением на заказ.","Finance/Ops route economics","CEO / Finance","Нужно определить","Без этого interstate margin может быть неконтролируемой."
"TBE-MRG-011","TBD","VAR-MRG-001","minimumContributionMarginRate","Margin guardrail","Минимальная contribution margin, ниже которой нужен warning/approval.","CEO/CFO target","CEO / CFO","Нужно утвердить","Ключевой margin protection."
"LAB-TIME-005","40","minimumHandlingMinutes","minimum handling minutes","Минимальное расчетное handling time.","","","CEO / Operations","Needs Business Approval","Underpricing small orders if hidden or too low."
"Non-stack / effective height","96","nonStackEffectiveHeightIn","non-stack height inches","Высота 8 ft для non-stack effective volume, если правило утверждено.","","","CEO / Operations","Needs Business Approval","Неверный effective volume для non-stack items."
"Direct / specific date","300","directFixedFee","direct fixed fee draft","Фиксированная часть direct/specific date fee.","","","CEO / Operations","Needs Business Approval","Direct service может продаваться как consolidated."
"Direct / specific date","2","directMileageFee","direct rate per mile draft","Mileage fee для direct/specific date service.","","","CEO / Operations","Needs Business Approval","Distance cost может быть недооценен."
"COI fee","35","coiFee","COI fee draft","Fee за COI, если требуется building/venue.","","","CEO / Operations","Needs Business Approval","Access/admin cost может быть потерян."
"Special labor","50","specialLaborHourlyRate","special labor hourly rate","Hourly rate для special/extra labor.","","","CEO / Operations","Needs Business Approval","Labor cost может быть недооценен."
"Helper minimum","2","extraLaborMinimumHours","helper minimum hours","Минимальное оплачиваемое время helper/extra labor.","","","CEO / Operations","Needs Business Approval","Короткие helper jobs могут быть убыточными."
"Bulky / heavy threshold","250","bulkyVolumeThresholdCuFt / heavyItemThresholdLb","bulky or heavy threshold if used","Порог для bulky order или heavy item warning; нужно разделить volume threshold и weight threshold.","","","CEO / Operations","Needs Business Approval","Один threshold может смешать объем и вес."
"Interstate density example","5.33","densityThresholdLbPerCuFt","calculated density threshold example","Пример 8000 lb / 1500 cu ft. Не должен hardcode-иться.","","","CEO / Operations","Ready for Formula Sprint","Hardcoded density не будет работать для разных vehicles."
