"ID","Блок","Название формулы / переменной","Формульный расчет","Описание логики на русском","Откуда берется","Куда передается","Статус"
"TOBE-COST-001","Cost Base","Direct Operational Cost","directCost = pickupCost + interstateCost + deliveryCost + serviceFees","Собирает прямую себестоимость заказа до overhead, payouts, margin и discounts.","Stage subtotals, service fees.","Fully loaded cost, margin calculation.","Нужно утвердить"
"TOBE-COST-002","Cost Base","Fully Loaded Cost","fullyLoadedCost = directCost + payrollBurden + brokerPayout + dispatcherPayout + overheadAllocation","Считает полную себестоимость заказа для правильной маржинальности.","Direct cost, payroll, payouts, overhead.","Gross/contribution margin, price floor.","Нужно утвердить CFO"
"TOBE-COST-003","Cost Allocation","Item Cost Allocation","itemCostShare = itemEffectiveVolume / totalEffectiveVolume x allocatableCost","Распределяет cost по item для audit/ref price, не как declared value.","Item effective volume, total effective volume, allocatable cost.","Item-level audit, internal allocation.","Нужно определить формулу"
"TOBE-COST-004","Cost Allocation","Stage Cost Allocation","stageCostShare = stageCost / totalCost","Показывает, какая доля себестоимости пришлась на pickup/interstate/delivery.","Stage costs, total cost.","Stage margin dashboard, CEO audit.","Ready for Formula Sprint"
"TOBE-MGN-003","Margin","Gross Margin Dollars","grossMargin = customerRevenue - directOperationalCost","Считает gross margin в долларах до fully loaded payouts/overhead.","Customer revenue, direct cost.","CEO profitability view.","Нужно утвердить CFO"
"TOBE-MGN-004","Margin","Gross Margin Percent","grossMarginPct = grossMargin / customerRevenue","Показывает gross margin в процентах от customer revenue.","Gross margin, customer revenue.","Margin guardrails, reporting.","Нужно утвердить CFO"
"TOBE-MGN-005","Margin","Contribution Margin Dollars","contributionMargin = customerRevenue - fullyLoadedCost","Считает contribution margin после payroll burden, broker/dispatcher payouts и approved overhead.","Customer revenue, fully loaded cost.","Profitability guardrail.","Нужно утвердить CFO"
"TOBE-MGN-006","Margin","Contribution Margin Percent","contributionMarginPct = contributionMargin / customerRevenue","Показывает реальную маржинальность заказа после всех ключевых выплат и cost components.","Contribution margin, customer revenue.","CEO/CFO margin dashboard.","Нужно утвердить CFO"
"TOBE-MGN-007","Margin","Minimum Margin Guardrail","isMarginOk = contributionMarginPct >= minContributionMarginPct","Блокирует или помечает quote, если цена ниже минимальной маржинальности.","Contribution margin pct, minimum margin pct.","Warning/blocker, discount approval.","Нужно утвердить CEO/CFO"
"TOBE-MGN-008","Margin","Price Floor","priceFloor = fullyLoadedCost / (1 - minContributionMarginPct)","Считает минимальную customer price, ниже которой заказ не должен продаваться.","Fully loaded cost, minimum margin pct.","Discount guardrail, final quote check.","Нужно утвердить CFO"
"TOBE-MGN-009","Discount","Maximum Allowed Discount","maxDiscount = rawCustomerPrice - priceFloor","Считает максимальную скидку, которую можно дать без нарушения margin floor.","Raw customer price, price floor.","Discount approval, warning/blocker.","Нужно утвердить CFO"
"TOBE-MGN-010","Discount","Post-Discount Margin Check","postDiscountMarginPct = (discountedPrice - fullyLoadedCost) / discountedPrice","Пересчитывает margin после скидки, чтобы discount не разрушал прибыльность.","Discounted price, fully loaded cost.","Final approval, audit.","Нужно утвердить"
"TOBE-CAP-001","Capacity","Vehicle Space Utilization","vehicleUtilization = totalEffectiveVolume / selectedVehicleCapacity","Показывает, насколько выбранная машина заполнена по operational volume.","Effective volume, selected vehicle capacity.","Vehicle fit, capacity warning, pricing premium.","Нужен справочник"
"TOBE-CAP-002","Capacity","Payload Utilization","payloadUtilization = totalWeight / selectedVehiclePayload","Показывает загрузку vehicle по весу, отдельно от объема.","Total weight, selected vehicle payload.","Vehicle fit, safety/ops warning.","Нужен справочник"
"TOBE-CAP-003","Capacity","Route Capacity Opportunity Cost","capacityOpportunityCost = reservedCapacity x routeCapacityRate","Оценивает стоимость занятой capacity на route, особенно для bulky/moving orders.","Reserved capacity, route capacity rate.","Bulky premium, margin guardrail.","Нужно определить формулу"
"TOBE-CAP-004","Capacity","Bulky Capacity Premium","bulkyCapacityPremium = capacityOpportunityCost x bulkyPremiumMultiplier","Добавляет premium, когда заказ занимает слишком много capacity и мешает consolidated economics.","Capacity opportunity cost, bulky multiplier.","Service fee or route premium.","Нужно утвердить CEO"
"TOBE-REV-001","Revenue","Customer Revenue","customerRevenue = finalCustomerPrice - passThroughExcludedAmounts","Определяет revenue base для margin, commissions and reporting.","Final price, pass-through fees.","Margin, broker payout, reporting.","Нужно утвердить CFO"
"TOBE-REV-002","Revenue","Stage Revenue Allocation","stageRevenue = customerRevenue x stageCost / totalCost","Распределяет revenue по pickup/interstate/delivery пропорционально cost, чтобы видеть stage margin.","Customer revenue, stage cost shares.","Stage margin dashboard.","Нужно определить формулу"
"TOBE-ADJ-001","Adjustments","Approved Manual Override Impact","overrideImpact = approvedOverrideAmount; finalImpact stored with reason and owner","Любой manual override должен иметь reason, owner и audit trail, чтобы не скрывать margin leakage.","Approved override, reason, owner.","Final price, margin audit, change log.","Нужно утвердить governance"
