"UAT ID","Сценарий","Что проверяет","Ожидаемый результат","Статус"
"TBE-UAT-001","Simple consolidated interstate order","Build order, item volume, route, stage subtotals, margin, rounding","Полный trace от item до final price.","Draft"
"TBE-UAT-002","Direct pickup with specific date","Direct flag, fixed fee, mileage fee, recalculated distance","Direct fee виден в pickup subtotal.","Needs approval"
"TBE-UAT-003","Remote/corridor destination","ZIP dictionary, remote/corridor flag, coefficient/premium","Remote/corridor premium применяется один раз.","Needs data"
"TBE-UAT-004","Vehicle fit boundary","Effective volume and weight select correct vehicle","Vehicle меняется только при crossing capacity threshold.","Draft"
"TBE-UAT-005","Pickup vs delivery labor difference","Разные pickup/delivery coefficients","Pickup и delivery labor отличаются по формуле.","Needs data"
"TBE-UAT-006","Bulky/moving 250+ cu ft","Bulky threshold, premium/review, vehicle/crew impact","Review/premium виден в trace.","Needs approval"
"TBE-UAT-007","Storage with existing snapshot","Storage cost and snapshot compatibility","Old estimate frozen после изменения storage rate.","Required"
"TBE-UAT-008","Protection FVP declared value","FVP rate, fixed fee once per order, declared value","Protection cost не использует Item Ref. Price.","Needs approval"
"TBE-UAT-009","Custom crate item","Surface area, material, waste, labor, margin","Crate cost виден в packaging/crate subtotal.","Needs data"
"TBE-UAT-010","Discount after margin guardrail","Margin/fee/discount order and floor margin","Discount auditable и не ломает margin floor.","Needs definition"
"TBE-UAT-011","Payroll fully loaded labor","Pickup/delivery labor hours, hourly wage, payroll burden","Fully loaded labor cost виден отдельно от customer labor price.","Needs CFO approval"
"TBE-UAT-012","Broker commission after discount","Commission base, discount, broker payout, margin","Broker payout считается от approved base, margin не уходит ниже floor.","Needs definition"
"TBE-UAT-013","Dispatcher payout allocation","Dispatcher payout and stage allocation","Dispatcher cost попадает в fully loaded cost/stage margin.","Needs definition"
"TBE-UAT-014","Price floor blocks underpriced quote","Fully loaded cost, min margin, price floor, max discount","Quote получает warning/blocker при цене ниже price floor.","Needs approval"
"TBE-UAT-015","Bulky capacity opportunity cost","Vehicle utilization, capacity opportunity cost, bulky premium","250+ cu ft order получает premium/review based on capacity economics.","Needs data"
"TBE-UAT-016","35 pieces: 30 light + 1 heavy 180 lb","unitItemWeight, maxSingleItemWeight, heavyPieceCount, helper active minutes","maxSingleItemWeight = 180 lb; heavyPieceCount = 1; min crew/helper rule triggered; light pieces add time, not heavy weight.","Required"
"TBE-UAT-017","10 light items x 20 lb","unit weight vs quantity guardrail","maxSingleItemWeight = 20 lb, not 200 lb; totalWeight = 200 lb; crew not forced by fake heavy item.","Required"
"TBE-UAT-018","Large volume light order 100+ cu ft","large light exception, piece limit, time floor","One-person eligibility depends on max item weight, piece count, access and time floor, not volume alone.","Needs approval"
"TBE-UAT-019","Heavy item + apartment no elevator","hard access crew rule","Manual review or minCrew=2 triggered by heavy item plus hard access constraint.","Required"
"TBE-UAT-020","Helper active time vs full-stage 2-person","partial helper billing policy","Workbook shows selected policy: helper billed entire stage, minimum paid time, or active minutes only.","Needs CEO/CFO approval"
"TBE-UAT-021","Item 73 in with selected vehicle cargo height 72 in","selectedVehicleHeightExceeded and vehicle revision","selectedVehicleHeightExceeded = TRUE; system requests side transport approval or recommends vehicle with higher cargo body.","Required"
"TBE-UAT-022","Tall item 80 in, side transport approved","sideTransportAllowed policy and snapshot","System allows normal vehicle only if side transport approval and packaging/protection risk are recorded.","Needs approval"
"TBE-UAT-023","Item fits volume/payload but fails door opening","doorOpeningFit guardrail","Vehicle is not eligible or manual review triggered despite volume/weight fit.","Required"
"TBE-UAT-024","Higher body vehicle recommended for selected vehicle height mismatch","higherBodyVehicleRecommended formula","Higher body vehicle / Box Truck is recommended when itemHeight exceeds selected vehicle cargo height and side transport is not approved.","Required"
"TBE-UAT-025","Light bulky interstate order: pillows","Density, volume-limited capacity, vehicle utilization","Order becomes volume-limited; pricing uses volume utilization / capacity factor, not low payload.","Draft"
"TBE-UAT-026","Heavy compact interstate order: marble slab","Density, payload-limited capacity, dual cost guardrail","Order becomes weight-limited; pricing uses payload utilization or MAX(weight cost, volume cost).","Draft"
"TBE-UAT-027","Volume 30 percent, payload 70 percent","Limiting capacity factor","Interstate capacity cost is based on 70 percent, not 30 percent.","Draft"
"TBE-UAT-028","Selected vehicle overflow","Vehicle utilization > 100 percent or payload utilization > 100 percent","Blocking warning or manager approval is triggered; vehicle recommendation required.","Draft"
"TBE-UAT-029","Apartment fourth floor, no elevator","Free floor count, billable floors, stairs fee, access time impact","Only floors above free threshold are billed; access subtotal is visible.","Needs approval"
"TBE-UAT-030","Extra helper under minimum time","Helper paid minutes and minimum billable hours","Helper cost uses minimum billable minutes/hours even if active minutes are lower.","Needs approval"
"TBE-UAT-031","Discounted order margin guardrail","Discount order and contribution margin","Discount cannot silently push contribution margin below threshold without warning/approval.","Draft"
"TBE-UAT-032","Remote ZIP manual override","ZIP dictionary, manual override, remote multiplier","Effective zone comes from approved override; route premium and trace show source.","Draft"
"TBE-UAT-033","Old estimate after variable change","Variable/reference snapshot compatibility","Old estimate remains auditable with original formula version and variable values.","Draft"
"TBE-UAT-034","Handling time selector","LAB-TIME-001/002/003: volume time and weight time are calculated separately","baseHandlingMinutes = MAX(volumeHandlingMinutes, weightHandlingMinutes); volume and weight times are not summed.","Draft"
"TBE-UAT-035","Pickup vs delivery multiplier","LAB-TIME-004/006/007: separate pickup and delivery coefficients","If pickupTimeMultiplier > deliveryTimeMultiplier, pickupHandlingMinutes > deliveryHandlingMinutes for same base handling minutes.","Draft"
"TBE-UAT-036","Vehicle fit failure","FIT-001/002/003/004 and WARN-003","If largest item exceeds vehicle interior dimensions, dimensionalFit=false, vehicleFit=false and warning is triggered.","Draft"
"TBE-UAT-037","More than 2 people required","WARN-004 and crew logic","If requiredCrewSize > 2, warning or manager approval is required and labor pricing reflects extra crew.","Draft"
"TBE-UAT-038","Constants audit coverage","HARDCODED_CONSTANTS_AUDIT","All listed business constants are mapped to variables or explicitly marked as approval-required examples.","Draft"
