"Scope","ID","Reference Source","Описание логики на русском","What It Contains / Key Fields","Source / Owner","Used In","Status / Risk / Audit Note"
"AS-IS","REF-001","Quote Draft item row","Основной источник item-level pricing inputs: dimensions, weight, qty, packaging, protection, storage и flags.","Item name, dimensions, weight, qty, packaging, protection, declared value, storage, flags","index.html / js/ui.js","Item Calculations, Packaging, Protection, Storage","Primary broker input source."
"AS-IS","REF-002","Quick Quote catalog transfer","Переносит данные из Quick Quote в Full Quote, чтобы broker не вводил catalog dimensions повторно.","Catalog dimensions, weight, packaging defaults transferred to Full Quote","quick-quote.html / js/quickQuote.js / js/itemCatalog.js","Item Calculations","Preserves catalog dimensions unless volume manually overridden."
"AS-IS","REF-003","Item Catalog","Содержит default item templates; используется как стартовая база размеров/веса для быстрых расчетов.","Default item templates","js/itemCatalog.js","Quick Quote, References, item defaults","Seed catalog, not SKU-specific production source."
"AS-IS","REF-004","ZIP Dictionary","Определяет raw service zone по ZIP; первый шаг route classification.","ZIP -> raw zone","js/zoneZipMap.js","Pickup Zone, Delivery Zone","Large static dictionary."
"AS-IS","REF-005","Zone normalization","Приводит raw zone к canonical zone, чтобы distance matrix и pricing использовали единые названия зон.","Raw zone -> canonical zone","js/variables.js normalizeZoneName","Route/Distance","Examples: NYC -> NY Area, CA (LA) -> CA South."
"AS-IS","REF-006","Distance Matrix","AS-IS static/average distance source для pickup, delivery и interstate mileage.","Canonical zone pair distances and same-zone local distances","js/variables.js distanceMatrix","Pickup, Delivery, Interstate distance","AS-IS average/static distance source."
"AS-IS","REF-007","Vehicles Reference","Vehicle reference хранит capacity, payload, MPG и maintenance; используется для fit, fuel и route cost.","Capacity, payload, fuel type, MPG, calculation MPG, maintenance","js/variables.js vehicleTypes / PricingConfig vehicles","Vehicle fit, fuel, mileage, interstate allocation","calculationMpg preserves UAT baseline."
"AS-IS","REF-008","Fuel Prices Reference","Fuel reference хранит актуальные fuel prices and surcharge для расчета fuel cost per mile.","Fuel type, currentAvg, fuelSurchargePct","js/variables.js fuelPrices / PricingConfig fuelPrices storage","Fuel Cost Per Mile","Runtime bucket can override baseline."
"AS-IS","REF-009","Packaging Rates","Packaging rate table связывает selected packaging type с item-level packaging amount.","Packaging type -> rate","js/variables.js packagingRates","Packaging Cost Per Item","AS-IS display/tracking nuance."
"AS-IS","REF-010","Protection Plans","Protection plans reference хранит RV/FVP/DV-like rates and fees для protection cost.","Basic Liability and Full Coverage rate/fixed fee","js/variables.js protectionPlans","RV/FVP/DV AS-IS pricing","DV maps to Basic Liability pricing AS-IS."
"AS-IS","REF-011","Access Conditions","Access conditions source: COI, stairs, floor, narrow access, elevator unavailable, long carry and crew inputs.","COI, stairs, floor, narrow, elevator unavailable, long carry, crew","Quote Draft access fields / saved drafts","Access Fees, Crew overrides","Some legacy fields are hidden in current broker UI."
"AS-IS","REF-012","Quote Options","Quote options source: priority, exclusive, special labor, manual adjustment and direct flags.","Priority, exclusive delivery, special labor, manual adjustment, direct flags","Quote Draft options","Options, Adjustments","Direct flags are capture-only AS-IS."
"AS-IS","REF-013","Estimate Snapshot","Estimate snapshot freezes formulaVersion, variablesSnapshot, quote and result so old estimates remain auditable.","formulaVersion, variablesSnapshot, quote, result","js/ui.js / js/storage.js","Estimate Document, audit","Frozen historical estimates should use saved result."
"TO-BE","REF-TBE-001","ZIP Dictionary","Главный справочник route classification: ZIP определяет service area, branch и zone class.","ZIP, serviceAreaId, branchId, zoneClass, activeFlag","Определять service area, branch, core/corridor/remote/out-of-zone.","Route, distance, zone fees","Нужен отдельный source of truth."
"TO-BE","REF-TBE-002","Service Areas","Service area reference задает warehouse point, density/corridor/remote logic и ownership зоны.","serviceAreaId, warehousePoint, densityClass, corridorFlag","Хранить branch, warehouse point, zone density и правила зоны.","Route pricing","Нужен owner."
"TO-BE","REF-TBE-003","Distance Matrix / Route Engine","Distance source для local, interstate and direct mileage; должен различать exact и average methods.","origin, destination, miles, method, version","Давать local/interstate/exact mileage.","Pickup/interstate/delivery/direct","Нужна политика average vs exact."
"TO-BE","REF-TBE-004","Vehicles","Vehicle reference позволяет добавлять/менять машины без переписывания формул. Должен хранить не только capacity/payload/cost, но и ссылки на реальные cargo body dimensions.","vehicleType, vehicleName, capacityVolume, capacityWeight, MPG, costPerMile, cargoBodySpecId, activeFlag","Выбирать vehicle и считать cost без изменения формул.","Vehicle fit, interstate, local operations, dimensional fit","Обязателен до scaling; dimensions должны быть отдельным source of truth."
"TO-BE","REF-TBE-005","Labor","Labor reference хранит crew roles, wage, minimum time and time coefficients for pickup/delivery/access.","role, stage, wage, minTime, coefficient","Хранить crew, helper, wage и time coefficients.","Pickup/delivery/access","Нужны time metrics."
"TO-BE","REF-TBE-006","Items Catalog","Items catalog задает default dimensions, weight and handling flags for item-level calculations.","itemType, dimensions, weight, fragile, nonStackDefault","Default dimensions, weight, handling flags.","Item calculations","Есть AS-IS, нужно расширять."
"TO-BE","REF-TBE-007","Packaging / Crate Materials","Packaging/crate material reference нужен для size-based crate formula and approved material prices.","materialType, unitCost, wasteCoeff, vendor","Материалы и ставки для crate.","Custom crate","Нужна validation operations."
"TO-BE","REF-TBE-008","Protection Plans","Protection plans reference определяет RV/FVP/DV pricing, fixed fees and customer wording.","planCode, rate, fixedFee, included, requiresConfirmation","RV/FVP/DV pricing и customer wording.","Protection","Нужен legal/finance approval."
"TO-BE","REF-TBE-009","Storage Rates","Storage rates reference задает тарифы хранения по volume/time и effective date.","rate, unit, effectiveDate","Storage by volume/time.","Storage","Сохранять snapshot compatibility."
