"Sheet","Purpose","Rows","Owner / Reviewer","Notes"
"00_formula_index","Оглавление и карта блоков","","CEO / BA","Использовать как навигацию."
"AS_IS_MASTER","Все AS-IS формулы в одном списке","79","CEO / BA / Developer","Главный лист для поиска по ID."
"01_system_route","System helpers, route, zones, distance","8","BA / Developer","ZIP -> zone -> distance."
"02_item_vehicle","Items, volume, weight, crew, vehicle fit","15","CEO / Operations / Developer","Основной блок риска underpricing."
"03_packaging_protection_storage","Packaging, protection, storage","7","CEO / Legal / Operations","AS-IS без TO-BE crate changes."
"04_fuel","Fuel variables and fuel cost formulas","3","Finance / Operations","Fuel source and MPG dependency."
"05_pickup_stage","Pickup subtotal formulas","7","CEO / Operations","Pickup labor, mileage, handling."
"06_interstate_stage","Interstate subtotal formulas","4","CEO / Operations","Linehaul fuel, vehicle, driver."
"07_delivery_stage","Delivery subtotal formulas","7","CEO / Operations","Delivery labor, mileage, handling."
"08_access_adjustments","Access fees, options, special labor","9","CEO / Broker Ops","Additional charges and adjustments."
"09_final_snapshot","Final total, allocation, snapshot audit","19","CEO / Finance / Developer","Raw price -> rounded final price."
"VARIABLES","Изменяемые коэффициенты и runtime variables","","Finance / Operations / CEO","Менять только после approval."
"REFERENCES","Справочники-источники данных","","BA / Operations","Reference source map."
"OUTPUT_FLOW","Куда передаются ключевые результаты","","BA / Developer","Audit trail for subtotals and final total."
