"Шаг","Блок","Что считается","Input 1","Источник 1","Input 2","Источник 2","Переменная / коэффициент","Формула","Результат","Куда идет","Статус"
"1","Order Inputs","Нормализация заявки","Quote fields","Quote Draft / Quick Quote","Variables snapshot","Runtime variables","n/a","Normalize numeric fields; exclude empty items","Clean payload","Route and items","TO-BE"
"2","Route","ZIP to service area","Pickup/delivery ZIP","Quote Draft","ZIP dictionary","References","n/a","ZIP -> service area -> warehouse point -> route type","Zones and route type","Distance and zone pricing","Needs data"
"3","Items","Physical volume","L x W x H","Item row/catalog","Quantity","Item row","1728","(L x W x H / 1728) x Qty","Physical volume","Effective volume","Ready"
"4","Items","Non-stack height","nonStack flag","Item row","Height","Item row/catalog","96 in","IF(nonStack, 96, height)","Effective height","Effective volume","Needs approval"
"5","Vehicle/Crew","Vehicle fit","Effective volume","Item calc","Total weight","Item calc","Vehicle capacity","Select smallest fitting vehicle","Vehicle type","Stage costs","Needs reference"
"6","Pickup","Pickup labor","Pickup time","Time model","Pickup crew","Crew split","Wage/min","Pickup minutes x crew x wage","Pickup labor cost","Pickup subtotal","Needs data"
"7","Interstate","Linehaul","Miles","Distance source","Vehicle","Vehicle ref","Fuel/driver/vehicle rates","Miles x route cost variables","Interstate subtotal","Cost base","Needs approval"
"8","Delivery","Delivery labor","Delivery time","Time model","Delivery crew","Crew split","Wage/min","Delivery minutes x crew x wage","Delivery labor cost","Delivery subtotal","Needs data"
"9","Fees","Service fees","Services/access/protection/storage","Quote fields","References","Variables","Approved rates","Sum applicable fees without double-counting","Service subtotal","Cost base","Needs approval"
"10","Final","Final customer price","Cost base","Stage+fees","Discount/margin variables","Governance","Margin/fee/rounding","Apply approved price build order","Final price","Estimate snapshot","Needs approval"
