"Formula ID","Block","Formula / Variable","Formula","Описание логики расчета","Level","Source / Input","Output / Goes To","Used In"
"SYS-001","System Helpers","Numeric value fallback","Number(value), if not finite -> 0","Любое числовое поле сначала приводится к числу. Если брокер оставил поле пустым или значение не число, калькулятор использует 0, чтобы расчет не ломался. Берется из input field или runtime variable; дальше используется во всех формулах.","System","User input values, runtime variables, calculator helper functions","Normalized values used by all formula blocks","All calculations"
"SYS-002","System Helpers","Money rounding","ROUND(value, 2 decimals)","Промежуточные денежные и расчетные значения округляются до 2 знаков после запятой для внутреннего результата. Берется расчетное значение; дальше идет в totals, item result и breakdown.","System","User input values, runtime variables, calculator helper functions","Normalized values used by all formula blocks","Items, totals, breakdown"
"SYS-003","System Helpers","Final price rounding","CEILING(Raw Price, Rounding Increment)","Итоговая цена для клиента округляется вверх до ближайшего шага округления. Сейчас шаг округления = $10 из settings.rounding. Берется raw price; результат идет в Estimate Document и Cost Breakdown.","Order","User input values, runtime variables, calculator helper functions","Normalized values used by all formula blocks","Final Customer Price"
"RTE-001","Route / Distance","Pickup Zone","NormalizeZoneName(Zip Dictionary[Pickup ZIP])","Pickup ZIP из Quote Draft ищется в ZIP dictionary, затем приводится к canonical zone: например NYC -> NY Area. Результат используется для route distance, pickup local distance и route label.","Route","Quote Draft pickup/delivery ZIP, ZIP dictionary, distance matrix","Pickup zone, delivery zone, route support, pickup/delivery/interstate distances","Distance, pickup stage"
"RTE-002","Route / Distance","Delivery Zone","NormalizeZoneName(Zip Dictionary[Delivery ZIP])","Delivery ZIP из Quote Draft ищется в ZIP dictionary, затем приводится к canonical zone: например CA (LA) -> CA South. Результат используется для route distance, delivery local distance и route label.","Route","Quote Draft pickup/delivery ZIP, ZIP dictionary, distance matrix","Pickup zone, delivery zone, route support, pickup/delivery/interstate distances","Distance, delivery stage"
"RTE-003","Route / Distance","Interstate Distance","Distance Matrix[Pickup Zone][Delivery Zone]","Калькулятор берет canonical pickup zone и delivery zone, затем ищет расстояние в distance matrix. Если расстояние найдено, routeSupported = TRUE. Результат идет в interstate fuel, vehicle cost, driver cost и final route cost.","Route","Quote Draft pickup/delivery ZIP, ZIP dictionary, distance matrix","Pickup zone, delivery zone, route support, pickup/delivery/interstate distances","Interstate stage, route support"
"RTE-004","Route / Distance","Pickup Local Distance","Distance Matrix[Pickup Zone][Pickup Zone]","Для pickup stage используется среднее локальное расстояние внутри pickup zone. Берется из distance matrix по pickup zone -> pickup zone. Результат идет в pickup mileage и pickup labor mileage.","Pickup","Quote Draft pickup/delivery ZIP, ZIP dictionary, distance matrix","Pickup zone, delivery zone, route support, pickup/delivery/interstate distances","Pickup cost"
"RTE-005","Route / Distance","Delivery Local Distance","Distance Matrix[Delivery Zone][Delivery Zone]","Для delivery stage используется среднее локальное расстояние внутри delivery zone. Берется из distance matrix по delivery zone -> delivery zone. Результат идет в delivery mileage и delivery labor mileage.","Delivery","Quote Draft pickup/delivery ZIP, ZIP dictionary, distance matrix","Pickup zone, delivery zone, route support, pickup/delivery/interstate distances","Delivery cost"
"ITM-001","Item Calculations","Billable Item","Item Name exists AND Quantity > 0 AND (Physical Volume > 0 OR Total Weight > 0)","Строка item попадает в расчет только если есть название и есть физический объем или вес. Пустые строки и name-only строки не создают цену. Результат идет в список calculatedItems.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Item calculations, final zero guard"
"ITM-002","Item Calculations","Physical Volume","Length(in) x Width(in) x Height(in) / 1728 x Quantity","Физический объем item считается из размеров в inches. Размеры берутся из Quote Draft item row или Quick Quote catalog transfer. Результат идет в item volume, total shipment volume, effective volume и vehicle fit.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Total shipment volume, effective volume, vehicle fit"
"ITM-003","Item Calculations","Total Shipment Volume","SUM(All Item Physical Volumes)","Общий физический объем заказа равен сумме physical volume всех billable items. Результат показывается в summary и используется для Effective $/cu ft.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Summary, effective cost per cu ft"
